SOSR_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR101,25849,733,243,980,26830,6728,158,33714,215906,28026,13025,1280,258237,4799,901,5696,263932,18712,405,283047,173046,40782,12513,1415,227762,3192,649,3842,231602,15080,349,247025,40766,8860,13612,540,63773,742,131,876,64647,3723,104,68470,2141,514,373,3248,6275,105,35,139,6411,689,731,7831,431856,78177,39522,6485,556045,8834,1712,10550,566595,38195,1592,606375,6556,1087,474,146,8269,1487,155,1640,9912,931,24,10868,7339,1609,643,192,9776,1115,473,1587,11366,1203,32,12597,13890,2696,1117,339,18051,2594,629,3226,21277,2137,55,23464,445751,80875,40643,6827,574096,11437,2340,13774,587870,40330,1639,629842,118334,31920,17675,4519,172450,6982,2006,8989,181434,75343,986,257765,991,295,171,1626,3081,49,10,53,3135,485,3372,6986,565075,113088,58487,12974,749625,18459,4355,22821,772445,116156,6000,894591
SOSR102,3208,42,10,57,3262,445,8,3715,38044,5902,1659,223,45829,546,168,719,46547,2627,49,49220,52655,9597,2237,375,64864,555,135,690,65556,2470,108,68131,9689,1892,1912,118,13606,105,26,131,13740,497,14,14247,547,90,32,514,1183,13,9,20,1203,93,136,1428,100939,17481,5839,1227,125487,1220,338,1560,127049,5679,301,133030,586,134,33,13,769,113,13,129,895,88,4,995,1324,307,66,26,1730,74,46,116,1842,107,4,1959,1914,441,103,39,2501,189,58,242,2745,199,8,2947,102850,17921,5945,1263,127984,1408,399,1809,129787,5875,310,135979,18691,4157,1414,496,24751,636,249,886,25636,5047,89,30768,139,36,15,166,350,3,0,3,357,35,382,775,121677,22120,7363,1929,153086,2050,645,2700,155785,10955,780,167520
SOSR111,373,12,0,12,388,51,0,437,7688,974,192,48,8898,111,36,150,9051,456,16,9522,10225,1546,227,78,12070,98,30,120,12193,389,19,12601,1324,182,179,13,1696,17,3,17,1718,53,0,1776,81,21,0,71,175,0,0,0,175,10,16,198,19320,2722,592,210,22846,223,68,292,23135,918,49,24100,132,27,7,6,169,39,0,39,207,20,0,225,295,38,6,11,350,19,6,28,377,38,0,412,428,66,13,15,516,59,6,62,583,57,0,640,19746,2785,605,225,23367,280,74,352,23718,976,49,24742,3619,850,185,142,4794,156,55,204,4999,1000,28,6026,32,9,0,32,74,5,0,5,74,0,62,140,23400,3643,795,396,28229,435,126,559,28790,1975,138,30902
SOSR112,670,15,7,17,691,130,0,819,20005,2592,461,104,23156,215,80,292,23454,1138,36,24628,23496,3761,570,220,28050,197,68,270,28312,1156,46,29516,3150,508,513,44,4216,27,6,37,4257,171,0,4426,272,48,10,210,542,13,0,13,555,37,88,684,46931,6910,1550,578,55968,452,160,610,56574,2506,175,59257,264,58,14,4,340,74,7,82,419,49,4,469,532,106,12,21,669,56,35,90,763,80,5,845,795,167,23,24,1012,132,41,174,1185,124,4,1317,47729,7077,1572,600,56973,581,204,783,57762,2631,179,60569,8888,1940,423,320,11567,454,130,582,12154,2813,24,14985,61,20,10,48,137,0,0,0,140,16,210,361,56670,9037,2004,963,68681,1035,333,1371,70046,5452,413,75917
SOSR113,211,0,0,0,216,33,0,245,6652,938,219,55,7862,105,22,126,7988,471,17,8476,9389,1644,286,77,11395,97,23,117,11516,617,9,12138,1253,211,193,20,1679,21,0,21,1696,70,5,1772,124,24,0,116,269,0,0,0,269,31,28,331,17421,2815,702,269,21202,216,48,269,21473,1182,60,22715,121,37,3,13,173,28,4,35,208,23,0,228,259,37,9,7,313,37,14,53,366,40,0,401,383,78,13,18,486,68,17,84,569,62,0,633,17801,2889,708,289,21693,287,61,350,22044,1245,60,23351,3870,807,236,158,5065,193,67,264,5328,1254,23,6607,35,9,0,25,72,0,0,0,72,10,87,161,21703,3706,943,468,26824,483,127,612,27439,2505,167,30116
SOSR114,279,5,0,4,281,44,0,328,9331,1280,300,69,10980,103,23,128,11111,616,25,11750,11673,1923,328,92,14019,90,35,123,14139,606,39,14784,1766,287,286,25,2358,20,7,27,2382,63,0,2444,158,17,8,162,339,3,0,3,344,25,31,394,22925,3508,917,338,27693,215,61,284,27970,1304,88,29367,118,30,7,7,161,49,0,49,209,5,0,216,319,50,9,9,387,47,9,54,442,26,0,471,435,80,15,15,543,94,9,106,651,38,0,684,23363,3587,929,355,28240,312,76,386,28621,1338,88,30051,4465,890,212,131,5699,136,49,184,5888,1269,22,7179,27,14,3,24,60,0,6,6,66,9,122,203,27855,4488,1150,508,34001,443,134,580,34578,2623,231,37426
SOSR115,411,7,3,7,415,61,4,478,12106,1726,408,88,14336,144,47,191,14526,759,21,15308,15961,2997,566,215,19735,157,64,224,19963,881,38,20881,2301,445,467,37,3251,28,11,39,3295,142,10,3439,206,14,16,283,519,6,4,11,526,37,26,590,30578,5186,1460,627,37844,335,128,461,38308,1815,95,40217,192,35,8,4,237,50,6,55,290,43,3,337,366,67,11,12,449,13,22,28,486,59,0,539,557,101,21,10,685,61,28,86,773,100,3,873,31129,5288,1478,637,38530,399,145,545,39077,1916,99,41091,5937,1315,393,268,7914,236,65,300,8215,1679,24,9920,71,11,9,53,146,5,0,5,148,20,172,339,37146,6617,1876,954,46590,633,218,850,47444,3607,297,51343
SOSR121,145,3,0,3,148,21,0,172,3672,521,139,21,4347,34,20,52,4395,269,6,4680,5011,952,119,52,6131,59,19,75,6206,321,13,6542,614,112,83,10,820,0,0,0,823,29,3,853,56,8,4,73,142,0,0,0,142,5,3,155,9348,1592,341,155,11440,98,32,127,11567,629,27,12225,49,4,6,0,61,11,3,17,80,0,4,83,129,9,6,0,142,5,7,12,153,15,0,166,178,16,4,4,204,18,9,24,233,15,4,253,9529,1607,346,161,11646,113,43,156,11799,644,27,12473,1748,436,72,89,2342,52,12,63,2405,463,6,2875,14,0,0,19,40,0,0,0,40,16,52,106,11287,2049,418,271,14026,161,60,218,14242,1123,90,15462
SOSR122,79,0,0,0,79,8,0,84,1539,218,49,13,1816,15,0,20,1837,130,5,1979,2034,369,74,30,2503,20,5,22,2525,128,9,2655,252,60,34,3,356,3,4,9,362,24,5,390,23,8,0,39,67,0,0,0,74,3,5,81,3851,659,153,89,4743,38,13,55,4798,284,13,5104,23,5,3,0,31,10,4,12,48,3,0,48,32,0,8,0,42,5,5,8,49,5,0,51,55,10,9,0,74,17,10,21,97,3,0,100,3903,670,157,90,4819,57,17,78,4896,287,13,5199,742,184,75,31,1032,34,5,43,1074,343,0,1419,7,0,0,8,15,0,0,0,15,0,17,34,4654,852,230,128,5864,88,32,116,5981,628,34,6649
SOSR131,1350,13,9,16,1361,178,5,1546,26086,2769,697,213,29769,193,58,251,30019,1327,39,31387,31581,5023,972,313,37883,221,78,296,38179,1440,71,39695,3677,706,818,84,5278,28,7,39,5313,264,5,5587,505,65,34,594,1204,13,4,15,1215,49,73,1336,61844,8558,2526,1200,74132,454,139,597,74728,3087,195,78005,204,39,14,8,264,77,9,80,342,46,0,388,511,116,17,23,666,40,27,66,734,46,3,781,713,150,32,29,928,117,34,149,1074,92,3,1168,62564,8713,2557,1222,75059,577,172,744,75803,3172,193,79171,10532,2131,632,453,13750,264,101,363,14111,3183,62,17362,97,27,4,78,207,0,0,0,208,28,401,633,73194,10875,3194,1751,89016,836,281,1111,90129,6382,655,97164
