SOSR_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR401,..,5825,6384,1531,1402,1723,1236,388,98,18587,..,2242,6714,5958,7569,13921,17398,14912,8600,77308,1263,2017,1769,955,853,994,820,432,234,9331,99455,70142,85277,81576,75586,73805,62637,36636,14268,599374,..,2236,53952,93016,83740,80351,70706,37488,8305,429781,..,9733,37526,20803,15565,11289,5580,1517,211,102225,..,1124,6532,13657,16930,10476,4612,2945,2088,58353,202027,..,..,..,..,..,..,..,..,202027,..,61622,..,..,..,..,..,..,..,61622,..,36671,24607,7326,4992,2874,487,17,0,76975,..,7059,5814,1965,2099,3832,3636,2111,1302,27823,..,4745,5511,1630,983,723,359,70,27,14051,..,12467,16314,4532,3640,3837,2622,837,177,44423,..,4395,14834,14394,18044,25908,27514,20675,11610,137370,2578,3803,3816,2293,1922,1830,1401,686,327,18662,204608,143855,168912,159608,147908,141118,116911,66351,24050,1173321
SOSR412,..,243,193,60,112,132,85,24,6,856,..,263,507,375,715,1228,1433,1435,665,6631,130,219,141,72,96,89,105,58,24,931,8337,5483,5972,5712,6217,5978,4883,3244,1015,46834,..,181,3694,5785,6270,6530,5667,3174,591,31890,..,1255,3270,1701,1434,993,366,116,19,9161,..,174,879,1335,1532,751,289,177,103,5235,16995,..,..,..,..,..,..,..,..,16995,..,4070,..,..,..,..,..,..,..,4070,..,3435,1373,432,296,144,25,0,0,5703,..,419,237,101,127,218,244,142,78,1566,..,248,207,81,72,39,24,7,0,673,..,492,506,178,250,278,183,58,17,1960,..,477,1242,1040,1617,2380,2328,1931,956,11971,261,421,290,202,198,165,180,92,29,1829,17255,11170,11710,10858,11799,11492,9288,5693,1790,91051
SOSR413,..,196,212,84,93,134,121,51,9,897,..,233,383,250,570,1220,1581,1400,809,6442,123,189,104,80,99,144,130,81,18,970,7060,4360,4515,4568,5332,5780,6037,3727,1298,42679,..,115,2459,4308,5168,5932,6979,4331,819,30117,..,973,2378,1549,1419,1046,599,165,39,8172,..,164,685,1021,1197,651,317,228,123,4390,14103,..,..,..,..,..,..,..,..,14103,..,3278,..,..,..,..,..,..,..,3278,..,2502,1101,471,378,188,31,0,0,4683,..,429,217,116,167,233,251,132,80,1634,..,230,200,99,76,73,27,10,5,717,..,391,493,217,197,279,243,97,22,1936,..,430,916,726,1351,2349,2608,2033,1121,11533,289,374,258,206,222,260,243,122,36,2004,14388,8891,8701,8718,10178,11008,11305,7119,2255,82557
SOSR414,..,55,71,18,37,58,35,20,0,286,..,43,97,108,189,413,647,559,270,2325,45,58,39,21,23,57,44,17,6,307,2375,1403,1584,1695,1762,2028,2480,1478,445,15246,..,37,1053,1749,1783,2109,2984,1774,319,11805,..,333,883,492,447,361,263,92,11,2867,..,31,158,337,426,190,82,56,49,1323,4743,..,..,..,..,..,..,..,..,4743,..,1101,..,..,..,..,..,..,..,1101,..,874,374,123,94,51,11,0,0,1527,..,93,68,26,24,70,72,47,25,431,..,65,58,36,26,21,13,3,0,217,..,114,193,95,84,113,72,35,3,711,..,100,251,264,441,769,996,811,381,4002,82,98,94,50,52,102,74,37,15,605,4819,2840,3131,3171,3369,3780,4562,2854,802,29329
SOSR415,..,155,231,71,129,169,120,60,9,947,..,211,453,324,713,1393,1797,1826,993,7711,150,211,131,73,100,182,167,86,36,1139,9259,4977,5925,6036,6729,7471,7338,4602,1568,53900,..,176,3655,6344,7114,8377,9160,5036,1029,40897,..,1106,3390,1973,1709,1479,837,240,30,10762,..,130,734,1238,1305,649,308,231,161,4743,18481,..,..,..,..,..,..,..,..,18481,..,3932,..,..,..,..,..,..,..,3932,..,3221,1307,461,369,211,54,3,0,5636,..,409,272,110,153,284,251,174,95,1744,..,242,238,90,76,79,39,9,5,779,..,381,566,228,300,369,255,119,22,2234,..,440,1077,955,1700,2884,3192,2642,1369,14260,297,413,328,212,212,318,340,163,51,2330,18778,10452,11556,11608,12942,14658,14440,8616,2758,105804
SOSR421,..,36,71,31,30,58,52,21,3,301,..,49,116,62,177,387,514,456,249,2006,40,58,39,26,36,62,61,26,10,352,2418,1330,1511,1573,1805,2259,2106,1151,390,14551,..,63,944,1707,1944,2623,2660,1267,249,11460,..,243,810,519,477,463,231,70,6,2814,..,22,157,258,327,165,71,55,46,1107,4840,..,..,..,..,..,..,..,..,4840,..,1075,..,..,..,..,..,..,..,1075,..,802,334,115,75,51,15,0,0,1393,..,127,80,20,36,92,68,51,24,489,..,55,44,18,21,22,13,4,4,171,..,93,139,71,73,112,98,40,15,636,..,129,288,232,453,794,988,698,359,3933,89,112,96,73,86,102,103,37,12,708,4929,2722,2890,3011,3484,4424,4243,2221,706,28634
SOSR422,..,23,27,8,19,42,26,7,0,152,..,26,49,52,136,256,315,260,111,1201,16,45,32,22,34,37,39,19,10,246,1316,725,858,852,1042,1476,1294,685,184,8432,..,71,571,813,973,1587,1610,802,131,6560,..,163,442,288,330,317,199,46,3,1796,..,27,117,181,199,125,55,34,22,748,2665,..,..,..,..,..,..,..,..,2665,..,457,..,..,..,..,..,..,..,457,..,487,242,92,74,36,6,0,0,933,..,133,58,43,53,63,52,25,16,448,..,33,11,13,11,18,5,0,0,94,..,43,41,19,57,89,59,18,4,330,..,65,156,154,365,627,689,440,178,2673,40,84,65,54,75,79,75,36,11,523,2701,1567,1702,1652,2123,2951,2754,1404,361,17216
SOSR431,..,95,117,70,155,247,156,46,12,895,..,114,180,194,454,1018,1150,808,309,4233,154,300,153,101,150,227,188,64,14,1354,11315,6202,5529,7392,9597,10755,8165,3307,756,63015,..,206,4128,9147,12397,14483,12111,4800,664,57938,..,840,2754,2308,2697,2513,1162,252,23,12557,..,83,401,723,1086,663,344,233,152,3680,23094,..,..,..,..,..,..,..,..,23094,..,5681,..,..,..,..,..,..,..,5681,..,4659,1984,684,472,253,36,0,0,8092,..,412,214,106,173,338,343,297,156,2025,..,340,277,121,110,126,66,26,3,1057,..,221,350,209,333,532,358,106,18,2121,..,328,645,750,1616,3070,2968,1637,517,11525,328,601,373,250,352,490,415,147,28,2984,23424,13359,11116,14294,19244,22464,17795,7499,1562,130753
SOSR479,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,73,87,111,77,50,64,42,9,4,522,73,87,111,77,50,64,42,9,4,522,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,172,248,184,159,152,96,16,6,1189,154,172,248,184,159,152,96,16,6,1189
SOSR501,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2070,3094,2560,1441,1324,1633,1488,786,371,14766,181747,113910,141124,143376,127025,111189,89026,48195,17495,973097,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4186,5664,5332,3467,2833,2829,2448,1266,514,28538,373528,230983,270709,276180,244522,212331,168542,90020,29679,1896506
SOSR511,..,180,206,69,89,105,83,37,5,777,..,134,279,253,470,817,945,773,399,4069,96,143,103,59,69,102,90,40,17,716,6911,3962,4437,4798,4764,4372,3561,1966,662,35433,..,143,2772,5080,5148,4956,4178,2122,401,24801,..,972,2323,1263,992,777,346,92,9,6764,..,122,577,1059,976,372,194,127,84,3520,14121,..,..,..,..,..,..,..,..,14121,..,2833,..,..,..,..,..,..,..,2833,..,2380,747,312,188,112,31,0,0,3760,..,315,222,91,101,178,167,99,52,1223,..,249,214,109,68,39,18,7,3,708,..,365,478,190,209,222,166,55,7,1691,..,305,758,718,1028,1446,1467,1082,536,7337,227,265,218,154,135,181,164,68,28,1446,14342,7926,8320,8976,8847,8282,6731,3650,1125,68198
SOSR512,..,294,284,103,125,187,93,33,4,1132,..,297,521,385,819,1330,1567,1300,729,6952,191,219,160,120,159,236,197,97,32,1417,10530,5938,6560,7034,7419,6961,5685,3323,1192,54635,..,214,3995,7036,7545,7435,6429,3436,770,36859,..,1664,3657,2320,1899,1365,604,169,34,11705,..,181,811,1439,1427,703,307,218,119,5207,21169,..,..,..,..,..,..,..,..,21169,..,3815,..,..,..,..,..,..,..,3815,..,3593,1208,458,347,185,40,4,0,5838,..,649,336,175,206,317,322,186,92,2271,..,385,307,133,105,75,31,15,0,1045,..,646,755,302,303,375,191,79,15,2673,..,591,1271,1126,1753,2554,2622,1881,987,12771,373,420,377,278,322,413,374,171,56,2790,21546,12154,12703,13266,13905,13415,10918,6159,2069,106133
SOSR513,..,130,267,99,85,77,36,7,0,711,..,172,402,249,356,478,390,285,99,2435,142,148,171,96,96,91,63,17,8,827,7062,2958,5043,4846,3652,2717,1515,700,182,28681,..,91,2878,5046,3880,2959,1649,668,97,17272,..,838,3112,2048,1257,698,186,39,0,8192,..,102,478,757,615,294,135,69,32,2475,14198,..,..,..,..,..,..,..,..,14198,..,1866,..,..,..,..,..,..,..,1866,..,1673,516,190,105,45,8,0,0,2533,..,411,212,114,133,186,135,73,29,1300,..,200,253,83,75,51,8,0,0,670,..,274,571,239,224,189,96,21,5,1626,..,359,949,762,936,1076,716,453,146,5396,286,289,317,194,189,191,109,35,10,1614,14480,6101,9279,9443,7416,5692,3042,1359,324,57139
SOSR514,..,73,102,33,39,53,23,10,0,328,..,32,83,105,207,326,392,274,147,1566,61,65,58,47,35,46,35,19,13,371,2571,1128,1471,1916,1766,1588,1423,724,244,12835,..,34,746,1771,1668,1626,1692,812,126,8480,..,252,870,674,486,304,158,34,0,2779,..,15,164,367,415,157,75,45,37,1280,5169,..,..,..,..,..,..,..,..,5169,..,872,..,..,..,..,..,..,..,872,..,716,266,100,65,40,11,0,0,1205,..,112,57,29,27,65,58,38,19,407,..,79,110,52,28,23,9,0,0,294,..,152,281,94,106,100,48,21,3,819,..,81,192,275,415,596,697,398,202,2859,124,125,104,101,78,87,69,28,16,735,5292,2444,2790,3472,3280,2996,2822,1384,410,24899
SOSR515,..,155,252,66,94,131,90,25,8,831,..,196,388,304,524,914,1082,857,451,4723,156,173,174,106,122,194,148,70,24,1168,8020,3891,5238,5291,5085,5122,4252,2191,749,39840,..,180,3080,5173,5098,5407,4793,2368,468,26559,..,1107,3090,1993,1548,1188,565,155,24,9666,..,128,626,957,952,457,244,136,88,3586,16318,..,..,..,..,..,..,..,..,16318,..,2431,..,..,..,..,..,..,..,2431,..,2397,758,338,260,122,22,4,0,3897,..,456,237,132,167,265,223,122,58,1673,..,240,217,88,64,53,34,7,0,709,..,311,555,209,233,299,205,63,13,1896,..,428,969,829,1390,1923,2051,1349,638,9579,307,338,338,257,289,345,284,118,38,2320,16621,8008,9876,9969,9998,10052,8432,4325,1332,78621
SOSR521,..,35,82,16,63,65,41,24,4,322,..,76,152,119,242,457,462,384,163,2064,60,74,59,50,57,73,69,22,10,470,2995,1558,1902,2009,2127,2318,1926,989,288,16116,..,98,1036,1756,1904,2285,2206,1007,198,10488,..,407,1025,672,644,597,274,75,3,3708,..,62,281,438,407,213,136,99,27,1665,6113,..,..,..,..,..,..,..,..,6113,..,860,..,..,..,..,..,..,..,860,..,998,370,196,152,66,4,0,0,1793,..,284,147,89,113,144,127,55,29,991,..,63,65,40,30,38,21,3,0,259,..,86,149,76,109,153,104,41,8,721,..,176,336,323,615,1004,981,651,248,4333,144,143,124,108,125,142,128,45,15,974,6256,3172,3532,3707,4104,4646,3978,1978,528,31899
SOSR522,..,18,28,14,25,43,31,10,3,164,..,57,84,74,108,240,243,179,69,1063,46,50,42,30,37,54,51,29,4,336,1860,1044,1126,1096,1091,1305,1057,547,145,9282,..,117,617,911,978,1219,1201,604,118,5764,..,278,636,449,362,279,133,49,10,2192,..,64,194,234,214,156,70,39,21,981,3678,..,..,..,..,..,..,..,..,3678,..,428,..,..,..,..,..,..,..,428,..,643,232,115,79,26,6,0,0,1104,..,267,123,89,84,106,77,35,15,794,..,29,30,5,14,11,3,0,0,98,..,33,63,34,57,88,60,20,8,363,..,101,198,202,344,582,593,340,113,2479,93,103,90,60,83,104,94,40,9,665,3773,2071,2187,2091,2208,2566,2245,1133,292,18558
SOSR531,..,108,153,76,136,191,146,52,0,869,..,163,265,216,481,956,984,663,221,3948,202,276,212,139,193,311,235,96,34,1705,11480,5906,5770,8001,10132,10909,7738,3160,734,63828,..,193,3858,9333,12746,14609,11515,4491,616,57375,..,846,2864,2570,2911,2496,1125,260,22,13092,..,83,410,850,1021,620,350,253,146,3734,23525,..,..,..,..,..,..,..,..,23525,..,4871,..,..,..,..,..,..,..,4871,..,4602,1798,699,478,235,39,0,0,7852,..,548,239,150,207,382,494,369,235,2626,..,335,341,151,171,154,108,41,7,1327,..,219,391,215,300,426,353,126,8,2044,..,427,771,777,1539,2580,2554,1351,378,10373,408,576,452,363,455,604,525,197,65,3648,23936,12706,11120,15113,19836,22119,17057,7090,1481,130471
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
SOSR599,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,121,119,168,141,96,101,60,11,3,825,121,119,168,141,96,101,60,11,3,825,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,218,270,367,321,228,208,122,30,6,1775,218,270,367,321,228,208,122,30,6,1775
SOSR603,..,1041,1955,333,232,300,214,78,22,4175,..,323,1053,982,1276,2434,3150,2643,1345,13199,220,402,332,160,151,205,181,84,45,1785,15025,10362,15932,12335,11382,11338,10140,6013,2173,94703,..,405,9031,12123,11313,11342,10711,5672,1187,61781,..,1800,7344,4122,2970,2073,1072,338,44,19751,..,279,1390,2444,2670,1547,695,446,269,9736,30520,..,..,..,..,..,..,..,..,30520,..,7906,..,..,..,..,..,..,..,7906,..,5257,2859,993,723,376,74,0,0,10291,..,974,861,263,308,555,566,339,172,4030,..,1038,2707,492,157,97,66,23,15,4588,..,2094,4646,868,527,590,416,149,48,9342,..,586,2253,2121,2667,4312,4769,3608,1817,22138,431,711,762,385,327,353,334,142,62,3502,30945,21049,31853,23817,21667,21249,18708,10708,3608,183600
SOSR611,..,438,443,94,92,107,103,40,6,1328,..,188,510,394,609,1047,1425,1191,622,5985,81,160,134,69,69,68,77,42,17,710,6420,4543,5660,4752,4952,4633,4172,2615,934,38685,..,182,3476,4661,4845,4745,4303,2466,481,25148,..,1015,2650,1466,1123,754,352,90,13,7460,..,154,688,1054,1181,611,259,188,99,4233,12916,..,..,..,..,..,..,..,..,12916,..,3176,..,..,..,..,..,..,..,3176,..,2354,1092,394,308,145,22,0,0,4316,..,401,333,106,112,211,209,133,60,1563,..,351,565,101,41,38,18,10,4,1127,..,839,1247,278,219,248,209,79,19,3142,..,376,1108,931,1320,1872,2126,1655,837,10227,170,297,266,161,146,148,111,70,22,1390,13086,9150,11429,9150,9302,8765,7609,4691,1528,74712
SOSR612,..,100,133,50,46,78,75,26,0,505,..,126,268,175,386,723,832,662,377,3565,79,99,74,39,46,64,59,43,10,520,3691,2407,2811,2499,2720,2923,2653,1572,570,21854,..,121,1533,2142,2401,2828,2748,1642,310,13720,..,592,1468,770,744,473,237,56,3,4349,..,119,490,722,668,322,150,116,64,2667,7292,..,..,..,..,..,..,..,..,7292,..,1588,..,..,..,..,..,..,..,1588,..,1411,555,210,178,106,23,0,0,2475,..,205,109,53,74,139,101,75,26,791,..,146,198,50,32,27,13,6,0,474,..,189,373,114,123,170,131,51,9,1164,..,244,568,489,832,1259,1358,969,506,6221,149,186,179,92,108,99,106,65,11,1001,7445,4795,5489,4632,5167,5430,4875,2975,933,41743
SOSR613,..,21,23,8,9,16,23,11,0,103,..,22,45,41,97,222,254,293,123,1083,15,17,19,9,11,21,10,9,0,124,882,627,627,613,771,946,899,610,198,6171,..,28,351,568,715,992,1022,602,137,4412,..,123,325,174,186,163,63,29,4,1065,..,17,99,180,182,83,53,30,28,673,1795,..,..,..,..,..,..,..,..,1795,..,467,..,..,..,..,..,..,..,467,..,418,146,59,56,35,4,0,0,715,..,55,22,12,17,35,41,19,13,209,..,34,38,13,9,14,4,0,0,104,..,29,67,18,23,26,37,21,0,223,..,42,105,112,190,350,396,392,162,1754,33,46,35,21,22,28,32,13,3,242,1831,1258,1186,1152,1400,1725,1648,1111,349,11666
SOSR614,..,24,29,10,17,33,26,7,0,144,..,18,54,51,119,241,328,268,104,1198,31,32,24,11,24,32,29,13,7,200,1347,792,948,922,992,1145,1042,615,176,7985,..,29,468,794,801,1202,1157,576,92,5116,..,199,603,406,284,237,123,40,4,1903,..,33,178,248,247,121,56,50,28,949,2744,..,..,..,..,..,..,..,..,2744,..,522,..,..,..,..,..,..,..,522,..,544,245,76,75,39,6,0,0,989,..,80,36,21,23,69,28,28,12,296,..,46,39,14,19,10,5,4,0,135,..,55,53,18,49,74,49,14,5,307,..,42,146,142,269,472,520,384,150,2119,51,78,58,35,52,50,48,15,7,395,2789,1622,1817,1758,1825,2268,1987,1110,288,15475
SOSR615,..,90,115,34,78,109,95,34,11,565,..,97,256,189,436,916,1290,1149,502,4834,86,117,76,69,61,96,105,53,12,669,5079,2944,3713,3408,3755,4318,4399,2667,802,31093,..,145,2364,3297,3564,4523,5001,2674,482,22063,..,780,2140,1193,990,890,452,142,16,6594,..,109,529,789,848,378,219,176,95,3148,10293,..,..,..,..,..,..,..,..,10293,..,2097,..,..,..,..,..,..,..,2097,..,1954,763,318,275,135,28,0,0,3481,..,216,131,59,109,182,154,119,47,1020,..,188,171,57,49,32,22,8,4,526,..,165,304,87,168,207,191,79,26,1228,..,192,576,482,947,1668,2141,1574,685,8266,170,237,181,134,124,166,175,100,18,1303,10463,6083,7165,6429,7065,8183,8378,4868,1384,60023
SOSR621,..,24,27,19,19,45,33,17,0,180,..,26,78,65,121,272,371,288,126,1345,21,32,22,19,28,56,54,18,0,254,1631,825,1065,1124,1309,1660,1475,757,190,10038,..,24,620,1116,1407,1810,1820,880,116,7794,..,164,625,469,400,400,202,61,3,2319,..,30,134,214,209,135,65,48,22,849,3270,..,..,..,..,..,..,..,..,3270,..,676,..,..,..,..,..,..,..,676,..,572,276,93,85,46,7,0,0,1072,..,54,49,27,32,47,56,32,10,299,..,57,57,21,10,11,5,3,0,167,..,51,66,33,45,86,64,34,3,391,..,66,197,189,323,576,657,468,182,2659,41,64,65,37,52,105,94,28,5,499,3311,1757,2091,2199,2567,3205,2957,1554,347,19994
SOSR622,..,0,0,3,17,20,15,3,4,61,..,14,21,16,55,136,164,102,37,539,16,19,13,12,9,24,26,6,0,120,605,343,378,425,565,770,690,300,67,4148,..,13,218,392,577,879,848,370,50,3355,..,65,236,192,188,156,106,15,0,953,..,9,50,76,89,52,34,25,13,354,1224,..,..,..,..,..,..,..,..,1224,..,267,..,..,..,..,..,..,..,267,..,246,122,55,48,18,4,0,0,492,..,16,8,11,14,24,22,19,10,129,..,14,18,8,8,10,8,4,0,70,..,12,16,18,22,42,39,12,5,164,..,12,49,51,142,294,350,187,58,1143,17,31,27,34,26,40,54,12,0,237,1244,699,738,829,1114,1510,1463,645,128,8378
SOSR631,..,66,117,66,108,173,137,47,4,714,..,63,173,198,461,947,956,596,208,3608,131,248,130,82,99,196,144,39,20,1089,8183,4546,4586,5878,7239,8410,6082,2320,512,47757,..,132,2896,6386,8477,10607,8782,3298,407,40989,..,697,2663,2421,2514,2191,1036,202,17,11732,..,80,417,773,926,617,280,211,80,3380,16615,..,..,..,..,..,..,..,..,16615,..,3916,..,..,..,..,..,..,..,3916,..,3463,1559,552,385,171,29,0,0,6164,..,293,133,81,134,299,282,185,134,1548,..,315,277,119,94,90,58,16,5,971,..,175,369,160,238,350,302,113,20,1722,..,169,520,635,1254,2388,2322,1193,357,8838,270,478,321,219,249,413,308,96,26,2377,16883,9718,9160,11340,14264,17123,13399,5317,1047,98243
SOSR679,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,30,51,35,43,21,33,9,6,0,220,30,51,35,43,21,33,9,6,0,220,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,69,109,98,89,75,63,25,17,0,530,69,109,98,89,75,63,25,17,0,530
