SOSR_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR311,..,729,746,280,423,513,377,172,36,3289,..,559,1043,807,1433,2851,3422,3405,1631,15152,317,488,319,175,246,355,270,154,76,2404,21318,13200,14532,14374,14691,15310,13670,8733,2854,118681,..,570,8724,14173,14455,16054,15710,8800,1705,80198,..,3450,7299,4027,3285,2510,1320,516,88,22494,..,491,2319,3406,3246,1571,847,659,425,12964,43196,..,..,..,..,..,..,..,..,43196,..,8580,..,..,..,..,..,..,..,8580,..,7691,2848,1318,1068,622,105,5,0,13653,..,1420,786,336,548,895,862,631,281,5752,..,1053,824,374,316,240,108,42,16,2967,..,1478,1810,760,931,1045,806,356,65,7248,..,1114,2467,2172,3147,5284,5850,4937,2244,27216,646,947,710,439,509,592,507,281,104,4737,43845,26784,27794,26999,27502,28820,26118,16224,4923,229014
SOSR312,..,250,150,86,181,248,207,100,14,1229,..,177,333,314,654,1266,1653,1453,694,6550,120,167,94,76,106,154,118,51,18,900,7834,4798,4962,5254,5828,6608,6381,3881,1181,46737,..,233,3011,4975,5504,6692,7335,4081,740,32587,..,1188,2597,1645,1383,1160,717,261,33,8979,..,210,839,1302,1352,681,357,290,162,5196,15626,..,..,..,..,..,..,..,..,15626,..,3289,..,..,..,..,..,..,..,3289,..,2911,1164,510,405,272,46,0,0,5308,..,447,242,114,213,348,327,207,114,2005,..,363,239,151,134,97,57,13,7,1066,..,494,482,223,371,508,456,205,24,2769,..,378,914,898,1492,2473,2818,2154,974,12099,235,310,246,192,221,259,216,79,26,1787,15860,9824,9747,10009,11081,12485,12324,7295,2081,90704
SOSR313,..,503,535,143,206,265,168,55,10,1886,..,421,720,530,880,1537,1812,1546,757,8193,265,314,241,136,188,208,182,110,46,1674,16053,8790,10385,9856,9162,8811,7406,4221,1318,76004,..,383,6292,9938,9565,9515,8815,4614,793,49917,..,2695,5692,2954,2027,1431,724,225,32,15782,..,392,1656,2187,1909,943,427,312,201,8039,32348,..,..,..,..,..,..,..,..,32348,..,5624,..,..,..,..,..,..,..,5624,..,4563,1596,697,474,261,57,3,0,7655,..,912,444,232,304,503,439,302,130,3265,..,648,546,215,185,108,58,18,8,1782,..,994,1167,417,462,554,377,129,17,4121,..,868,1784,1402,2020,2958,3008,2244,1002,15293,525,617,566,333,349,365,320,175,55,3323,32878,17702,19742,18377,17297,16646,14239,8031,2236,147152
SOSR314,..,448,641,161,241,301,244,87,16,2150,..,323,612,476,850,1523,1866,1632,814,8088,229,308,218,119,179,206,186,110,40,1595,15356,8425,9954,9921,9944,9201,7813,4534,1467,76622,..,320,6455,10513,10661,10151,9137,4789,849,52886,..,2183,4848,2980,2494,1583,777,274,29,15179,..,274,1331,2066,1973,957,485,348,239,7674,31111,..,..,..,..,..,..,..,..,31111,..,5936,..,..,..,..,..,..,..,5936,..,4838,1809,714,602,336,68,0,0,8366,..,829,478,235,333,588,578,373,188,3599,..,615,637,247,208,177,93,22,9,2008,..,907,1428,397,532,626,499,199,28,4621,..,663,1460,1256,1933,2992,3230,2454,1138,15123,461,590,478,293,343,372,340,166,56,3099,31572,17156,18926,18699,19078,17775,15208,8634,2546,149597
SOSR315,..,504,487,197,424,578,447,164,27,2839,..,402,803,667,1348,2613,3178,2504,1058,12576,402,474,364,212,292,395,324,148,54,2668,22060,11847,13593,13909,14556,15920,14207,7226,2084,115398,..,447,8329,13444,14576,16915,16877,8066,1301,79946,..,3062,7264,4719,4192,3225,1729,505,52,24750,..,481,2017,3004,2752,1431,883,567,356,11488,44535,..,..,..,..,..,..,..,..,44535,..,7936,..,..,..,..,..,..,..,7936,..,7356,2795,1279,1001,538,115,0,0,13084,..,1364,711,391,548,968,940,547,338,5808,..,791,739,350,318,266,162,59,13,2701,..,976,1171,541,905,1184,1009,357,58,6211,..,822,1845,1774,3161,5314,6095,4068,1548,24629,806,925,761,531,611,749,629,288,80,5375,45346,24172,25626,26023,28052,30594,28431,14462,3749,226460
SOSR321,..,110,147,66,133,262,173,58,15,971,..,109,239,228,454,1031,1140,853,308,4353,114,211,120,75,92,177,158,64,14,1023,8028,4186,4502,5124,5951,6904,5732,2733,685,43841,..,97,2494,4883,6112,7490,7145,3176,434,31832,..,942,2478,1969,1838,1493,800,216,32,9774,..,167,701,1021,1029,579,325,256,125,4200,16498,..,..,..,..,..,..,..,..,16498,..,2983,..,..,..,..,..,..,..,2983,..,2835,1117,509,438,224,29,0,0,5152,..,506,261,137,266,411,404,282,141,2412,..,311,214,106,130,125,87,30,6,1008,..,217,316,156,282,492,385,141,23,2016,..,251,547,596,1153,2169,2361,1525,463,9067,264,406,277,201,226,341,294,128,19,2159,16754,8714,8402,9571,11481,13331,11838,5760,1250,87108
SOSR322,..,80,47,31,68,129,81,25,4,469,..,69,123,116,232,523,574,410,143,2192,81,104,66,46,69,96,70,44,9,593,3464,1731,1998,2018,2479,3227,2648,1282,310,19153,..,56,893,1669,2272,3433,3176,1466,184,13151,..,479,1211,817,854,734,418,106,8,4620,..,93,392,472,431,248,149,133,67,1983,6889,..,..,..,..,..,..,..,..,6889,..,987,..,..,..,..,..,..,..,987,..,1096,516,234,177,100,19,0,0,2129,..,266,125,62,104,161,164,104,48,1044,..,106,100,45,65,32,35,6,5,394,..,139,111,84,150,284,215,64,10,1062,..,153,307,353,646,1274,1312,757,227,5034,156,193,159,110,134,198,153,77,18,1195,7050,3573,3807,3850,4828,6460,5636,2724,576,38496
SOSR331,..,388,445,268,535,941,722,218,36,3559,..,363,558,597,1449,2909,3234,2153,653,11916,481,834,452,293,451,741,548,203,71,4071,34548,19216,17690,23253,30216,32299,24180,10253,2183,193837,..,670,12645,27394,37447,42199,34359,14151,1821,170683,..,3092,8385,7118,8058,6899,3248,830,70,37688,..,345,1741,2883,3496,2078,1270,966,545,13330,70716,..,..,..,..,..,..,..,..,70716,..,16435,..,..,..,..,..,..,..,16435,..,13710,5871,2497,1916,921,150,3,0,25076,..,1375,649,425,787,1533,1938,1495,701,8898,..,1536,1169,634,738,724,532,209,44,5592,..,776,1093,707,1232,1979,1671,567,70,8102,..,827,1668,1995,4220,7578,7787,4485,1223,29779,1000,1671,1112,788,1101,1485,1183,431,110,8881,71717,40443,34343,44435,58988,65393,52143,23136,4588,395175
SOSR379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,3,0,3,0,0,0,0,8
SOSR399,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,279,336,400,232,260,279,208,47,11,2061,279,336,400,232,260,279,208,47,11,2061,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,577,622,862,586,530,573,490,131,21,4393,577,622,862,586,530,573,490,131,21,4393
