SOSR_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR101,6349,1041,28366,2685,459,6600,3806,4502,738,18786,3368,824,10773,2184,1422,379,18949,13406,2809,31185,8610,6254,1591,63850,2332,475,6051,3301,3825,589,16567,22436,4420,51456,10752,7858,2024,98950,2996,765,9799,5175,4960,910,24596,9517,3040,18828,7667,6707,946,46710,31117,9577,50432,12871,11439,1800,117228,32491,10414,79238,29690,29381,5230,186443,1865,450,5180,1894,1991,275,11661,2353,740,6903,5366,7643,698,23694,5291,736,12384,5097,4496,4056,32069,151540,38222,352775,128912,123800,24774,820016,528,104,1465,662,1178,159,4097,632,84,1104,334,631,72,2864,10459,1464,26158,12710,25433,2457,78676,2839,392,4653,1708,3593,306,13487,8887,1309,28372,15738,63275,3106,120691,9632,1263,21142,8403,11121,1511,53072,14904,2049,42322,20324,26253,3811,109663,5999,858,21136,15968,14805,2292,61066,9104,1414,21947,13883,21523,2891,70760,8985,1669,24173,6129,4670,1009,46624,32952,6284,71122,16496,10501,3140,140492,5203,979,12843,6789,8143,1153,35117,55642,9362,119696,21842,15066,4425,226036,6094,1241,18611,9443,11098,1781,48268,19114,5411,36705,17468,18611,2123,99438,48474
SOSR102,3508,289,7181,126,59,423,446,975,92,2120,175,68,674,318,317,40,1596,421,232,1807,1658,2308,228,6662,85,54,422,679,1395,121,2767,1412,699,4832,1961,2502,263,11670,209,115,1057,1114,2156,173,4824,1492,817,4424,2930,3422,256,13345,5110,2649,12722,3699,4468,413,29064,5733,3147,19744,10423,16829,1579,57450,146,79,731,418,660,51,2089,248,132,998,1458,3596,150,6578,293,83,1066,751,1268,666,4125,16974,8658,55879,32083,53364,5271,172227,47,24,307,194,600,43,1214,278,109,931,791,3570,129,5813,948,234,3403,2768,10053,420,17820,315,90,774,750,2059,80,4069,546,201,3147,3399,26220,773,34288,385,117,1209,1043,2982,153,5890,1143,261,4286,3540,10324,804,20364,717,143,2840,2628,6828,517,13668,556,171,1568,1796,6310,410,10807,386,145,1511,821,1141,99,4092,1033,436,3837,2769,3219,342,11634,194,95,920,1200,2521,204,5127,3560,1287,11689,4189,4755,526,26009,416,178,1797,1785,4592,310,9089,3216,1477,8381,6400,8206,587,28261,8201
SOSR111,883,63,1542,20,8,69,76,232,19,430,7,8,58,37,64,0,180,32,19,178,200,325,28,779,9,6,79,99,253,19,465,118,86,623,294,460,39,1622,26,21,164,207,516,39,968,176,120,657,515,693,38,2199,655,511,2227,726,967,69,5151,806,603,3331,1982,3606,321,10650,13,14,69,54,125,4,272,28,22,121,318,797,34,1320,31,13,129,110,270,132,696,2144,1535,8855,5870,11711,987,31115,37,17,139,109,309,34,646,45,27,181,210,1437,40,1940,147,41,535,476,2271,109,3580,27,13,98,149,380,12,675,66,37,383,540,4352,125,5504,39,15,150,174,875,31,1279,139,40,671,705,2458,136,4150,79,25,415,563,1636,113,2832,67,20,211,318,1213,87,1915,29,17,113,79,158,8,413,76,48,369,345,455,39,1321,21,9,141,166,474,29,839,319,189,1379,587,828,74,3373,46,29,260,329,1034,74,1769,353,210,1219,1069,1675,70,4602,953
SOSR112,2172,223,4099,15,13,140,172,509,46,895,48,27,243,90,159,14,585,83,42,357,420,616,69,1593,25,12,155,241,682,54,1174,437,284,1541,654,1052,115,4090,77,36,373,457,1155,99,2204,538,329,1763,1271,1765,111,5779,2312,1392,6079,1873,2611,213,14477,2595,1555,8868,5115,8764,751,27641,76,50,269,162,330,26,909,87,63,389,711,1850,82,3191,130,33,347,307,679,395,1895,7159,4131,23699,14306,28207,2746,80246,186,43,663,377,1158,117,2547,96,24,313,243,2112,48,2822,392,111,1460,1042,5131,353,8485,137,63,399,429,1172,44,2248,173,72,914,983,10652,315,13110,91,25,375,402,1718,89,2695,494,137,1758,1566,5981,457,10388,409,85,1421,1387,4103,405,7802,116,46,451,579,2666,186,4047,111,50,477,211,414,34,1296,234,100,800,780,860,113,2883,47,32,355,406,1158,85,2086,1080,526,3373,1242,1849,197,8256,170,81,627,740,2418,189,4221,1119,632,3320,2801,4585,253,12716,3679
SOSR113,1167,126,2251,4,6,60,85,200,27,379,17,0,82,32,62,4,203,31,18,128,157,282,28,646,11,0,77,117,311,22,550,147,62,551,302,478,46,1592,30,27,200,240,621,66,1180,147,123,613,524,800,44,2243,624,518,2023,682,1064,82,4989,700,532,2729,1945,3663,330,9903,33,14,91,71,139,13,367,29,18,144,286,829,47,1362,21,20,195,141,319,173,866,1994,1455,8138,6016,12742,1277,31613,26,16,121,94,367,39,660,105,50,413,374,2680,91,3717,66,40,320,340,1750,88,2601,41,14,122,176,597,23,969,58,23,344,457,4661,172,5713,25,12,106,153,768,28,1091,110,53,574,627,2708,252,4326,132,41,710,814,2166,213,4080,28,18,173,257,1121,99,1689,27,8,134,80,163,16,427,76,36,282,251,376,42,1057,18,12,149,200,550,45,970,331,137,1202,572,814,82,3143,46,39,294,371,1225,113,2091,348,210,1123,1185,2142,105,5122,892
SOSR114,1133,117,2029,10,13,76,89,287,33,508,17,14,73,52,66,3,217,28,24,166,202,312,33,764,14,9,75,141,343,31,609,195,118,738,363,610,62,2086,29,22,159,239,550,67,1067,285,171,911,751,876,62,3057,802,630,2968,893,1300,105,6703,722,552,3082,2125,4021,357,10855,32,18,122,74,150,13,411,37,29,146,340,909,46,1512,39,16,161,146,343,190,892,2464,1749,10159,6886,14034,1433,36733,57,44,470,329,1016,149,2061,64,23,194,129,1014,43,1467,122,39,553,477,2617,190,3986,72,15,187,176,686,28,1166,77,24,405,538,6007,169,7225,42,18,202,188,890,45,1379,155,57,726,685,2979,259,4856,110,41,573,613,2100,209,3650,36,36,198,262,1483,114,2129,26,22,157,108,206,9,526,59,42,340,341,423,46,1258,23,14,144,226,575,49,1038,400,221,1525,630,973,102,3845,42,34,261,363,1129,111,1936,608,305,1691,1595,2222,154,6580,1177
SOSR115,1657,167,2939,15,17,116,153,396,39,740,32,24,152,64,91,14,376,46,35,181,237,402,42,951,12,15,108,161,471,49,811,295,135,978,550,773,74,2801,42,29,226,334,789,91,1517,340,231,1164,1038,1314,106,4197,1241,977,4058,1368,1871,157,9674,1060,798,4294,3117,5204,529,15006,59,28,232,119,244,23,704,64,29,204,476,1206,61,2028,67,20,276,256,468,279,1361,3601,2518,13927,10044,19061,2053,51204,73,35,444,332,1629,210,2719,45,25,241,219,1895,63,2495,139,57,586,637,3563,193,5172,59,21,190,231,914,34,1449,73,48,655,832,8832,277,10712,38,14,232,248,1144,58,1750,223,71,928,991,3727,333,6273,127,44,751,914,2963,255,5052,57,32,284,423,2039,162,3002,61,35,270,164,280,27,835,103,69,376,386,541,58,1531,37,29,208,271,806,60,1404,642,269,2091,954,1318,143,5401,78,40,375,492,1681,144,2815,733,413,2169,2234,3560,236,9341,1802
SOSR121,459,50,822,8,9,36,58,118,12,230,13,11,31,18,24,8,93,16,10,59,69,120,12,287,4,0,28,52,107,10,209,82,50,295,160,243,16,849,9,6,70,104,197,26,412,88,71,323,259,311,28,1080,379,265,1240,379,544,41,2853,311,230,1239,854,1451,150,4238,10,0,69,26,53,4,166,15,8,69,134,343,15,584,27,7,93,83,162,77,444,1056,731,4109,2843,5262,575,14564,26,15,131,110,474,52,806,11,9,53,88,447,14,619,35,14,169,167,995,46,1433,13,13,56,80,256,9,424,33,16,199,273,2740,104,3362,18,11,80,91,328,17,540,70,27,242,294,1068,84,1779,19,9,201,232,818,83,1369,18,18,86,152,644,44,962,16,10,67,44,63,11,213,47,17,123,123,170,22,494,7,0,63,82,196,15,370,184,90,639,276,401,40,1634,22,22,123,160,469,44,834,178,125,606,596,820,61,2393,546
SOSR122,214,38,419,0,0,14,35,71,5,131,0,3,15,0,13,5,42,13,4,30,28,51,4,134,0,0,7,10,44,3,70,34,20,138,68,91,13,361,7,16,40,51,114,15,235,39,28,141,124,209,13,559,166,124,475,166,280,19,1237,109,108,518,405,709,57,1912,14,8,37,9,37,0,112,6,11,28,48,155,11,260,7,4,40,32,77,31,201,446,353,1767,1272,2676,286,6795,7,5,63,77,295,31,474,3,0,13,25,210,4,255,13,14,79,79,460,37,679,3,6,25,32,147,5,218,19,5,89,113,1199,54,1478,9,0,25,41,175,9,264,19,19,105,120,479,44,785,20,17,123,124,404,48,734,18,0,32,67,318,25,457,10,4,42,13,31,4,102,27,12,70,50,65,4,225,4,0,27,31,87,4,154,84,33,291,124,156,18,713,8,16,65,61,247,24,420,82,52,247,298,498,22,1205,233
SOSR131,1659,222,3309,41,32,248,314,729,93,1461,52,26,255,113,132,16,596,121,53,469,402,534,63,1649,38,28,283,380,704,65,1502,602,323,2388,1018,1522,206,6057,68,58,418,489,1016,130,2171,655,382,2020,1384,1663,148,6253,2107,1528,6806,2218,2960,279,15898,1763,1313,6737,4190,6074,747,20818,107,38,380,221,414,49,1211,99,59,407,682,1857,107,3220,147,70,651,542,977,529,2910,6697,4601,27173,17439,29276,4013,89188,887,567,5758,4774,12489,1578,26054,136,44,487,476,3202,126,4460,265,99,1337,1151,5507,312,8664,96,34,329,407,1392,60,2313,205,113,1528,1878,15614,638,19976,139,63,712,626,2125,154,3812,242,128,1579,1460,4810,516,8743,174,74,976,967,2915,350,5454,111,58,536,769,3576,282,5335,106,48,444,239,392,34,1250,327,108,1011,693,756,97,2985,89,58,548,650,1328,113,2779,1427,551,4821,1704,2409,320,11234,109,87,683,765,2249,204,4098,1285,649,3495,2791,4452,295,12969,2860
