SOSR_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SOSR101,81,357,660,4251,2187,1747,2833,2624,953,15691,26,270,513,1436,1291,3173,6299,9274,4133,26401,345,2256,3499,14664,6090,9277,7535,1495,497,45660,2285,14042,14725,110288,20319,11286,7373,3337,1098,184740,113,649,4283,16205,5431,3419,3065,1229,327,34714,68,949,1589,13184,3580,3025,2062,851,316,25622,83,3718,5978,19373,9167,7385,4182,1835,599,52326,63,589,701,10810,3140,2254,1598,1087,385,20627,44,257,529,5862,2320,4814,8318,8775,5531,36450,150,715,931,4969,2993,1596,700,310,111,12474,192,1609,3804,21464,10003,6585,3641,1861,540,49704,270,1040,1840,14042,12468,14047,10321,5002,1405,60440,122,932,2783,13214,5237,4650,4848,1973,437,34191,0,11,25,279,332,1281,3511,2858,984,9282,5,29,186,1220,650,1117,999,523,218,4949,13,91,483,2534,1162,952,680,277,109,6304,98,662,17927,36585,2094,718,317,67,0,58467,46,250,297,1477,908,830,1453,1265,644,7161,549,4308,9150,27005,14307,11858,6774,2646,710,77311,7,78,175,1872,1654,2655,3104,1571,502,11619
SOSR102,5,53,95,552,362,518,1426,1065,398,4471,0,14,23,51,69,227,464,515,304,1671,7,55,159,324,121,216,164,35,14,1096,83,486,924,5447,860,456,350,258,93,8956,15,69,157,595,280,135,130,48,19,1459,6,45,59,528,127,110,51,25,6,955,8,101,89,244,98,81,38,20,0,680,3,179,128,630,455,366,394,318,110,2580,8,33,46,308,234,666,1369,1266,959,4891,17,85,98,360,210,102,79,24,8,984,9,96,176,866,377,186,96,48,9,1874,3,20,38,247,210,253,192,93,25,1082,9,53,209,598,287,344,257,104,25,1880,0,3,13,29,41,189,602,410,125,1411,0,0,7,63,34,79,83,37,19,332,0,17,37,207,62,48,43,30,11,443,9,39,287,1718,46,18,0,5,0,2128,5,31,43,188,176,250,872,778,306,2657,81,501,893,3795,3008,2800,2196,1031,293,14606,4,16,42,437,659,1239,1643,913,295,5242
SOSR111,5,0,3,63,44,94,269,194,46,729,0,0,6,0,7,8,25,24,17,94,0,12,12,47,13,30,24,0,3,149,24,130,167,1593,197,90,70,33,14,2315,0,9,3,73,23,16,9,0,0,139,0,5,5,33,10,13,3,4,0,73,19,144,65,143,22,13,12,3,0,412,0,21,3,74,39,27,26,32,7,242,0,6,0,41,14,15,69,60,34,248,3,13,7,48,21,4,7,5,0,117,0,3,7,113,16,11,3,0,0,159,0,0,5,19,15,8,7,0,4,57,23,73,26,125,59,39,18,5,3,373,0,0,0,0,7,9,29,21,0,67,0,0,3,17,5,3,4,0,0,29,0,28,81,240,55,23,18,0,0,448,0,50,145,294,14,3,5,0,0,510,0,4,10,19,23,39,155,152,53,449,11,92,136,590,417,417,321,152,37,2181,0,0,0,0,5,6,5,4,0,17
SOSR112,0,24,31,178,143,198,453,419,148,1589,0,10,12,25,16,49,75,74,29,279,0,29,17,139,54,88,61,12,3,406,91,445,445,4189,644,383,222,114,43,6569,5,19,36,225,71,49,35,25,8,472,0,21,16,182,48,22,26,6,0,327,34,379,382,438,131,66,44,12,4,1491,0,50,36,186,133,119,136,125,36,821,0,20,11,140,66,169,413,404,276,1498,10,19,22,120,68,31,41,7,3,313,6,21,36,353,60,43,17,9,0,544,0,7,4,64,54,56,46,26,8,264,13,78,75,372,173,140,68,26,4,944,0,0,0,12,11,32,120,79,31,278,0,0,9,33,14,33,36,11,8,146,0,15,32,240,55,23,11,4,8,381,9,61,259,2185,61,26,13,4,0,2607,0,10,8,79,59,138,389,365,129,1182,28,234,373,1367,1042,1169,1030,557,161,5966,0,0,0,14,8,32,12,8,0,68
SOSR113,3,8,30,120,50,134,299,195,84,927,0,0,3,9,14,29,59,63,21,197,0,20,7,32,23,37,16,3,0,130,21,76,55,647,83,56,44,37,18,1033,0,9,9,57,36,14,21,10,8,169,0,0,0,23,11,9,5,7,5,61,0,0,0,15,0,0,3,3,0,26,3,25,12,106,44,55,81,57,25,406,4,8,14,134,17,76,158,110,59,583,0,12,18,98,44,11,11,5,0,204,0,3,5,79,16,9,3,0,0,110,0,0,0,18,13,24,15,5,3,77,3,4,17,100,57,65,48,11,3,311,0,0,0,5,8,28,108,63,16,230,0,0,5,12,11,17,19,6,3,74,0,0,0,10,6,0,0,0,3,30,0,10,38,265,10,0,3,0,0,325,0,0,10,66,39,58,204,183,53,623,12,102,147,708,568,570,500,253,54,2900,0,0,0,5,5,10,22,11,0,62
SOSR114,4,4,16,97,57,119,262,242,75,884,0,0,5,3,3,22,35,29,6,108,3,17,8,46,19,19,21,10,3,141,29,143,135,1393,204,175,134,37,36,2294,0,13,22,85,33,23,23,10,9,217,0,5,6,37,21,15,9,10,0,101,0,12,15,30,20,13,0,0,0,92,0,18,14,117,56,56,63,52,27,405,0,7,3,71,31,70,154,120,75,529,7,8,12,79,33,16,5,0,0,159,0,8,4,111,16,9,5,0,4,150,0,0,0,27,28,26,22,10,4,115,5,14,32,176,86,56,33,14,3,406,0,0,0,8,12,26,81,60,15,188,0,4,3,8,7,15,5,4,0,46,0,0,0,11,8,4,4,0,0,23,0,12,34,382,13,5,4,0,0,450,0,3,8,55,26,69,240,192,65,667,11,103,134,672,534,604,552,255,67,2937,0,0,0,23,20,10,7,3,0,65
SOSR115,3,19,24,171,132,248,523,341,130,1587,0,0,0,9,13,19,65,62,21,189,0,5,7,49,25,34,25,7,4,154,22,65,65,860,99,84,75,60,21,1342,0,17,18,91,27,28,34,18,5,242,0,0,0,33,15,3,8,8,0,64,0,0,0,29,11,10,6,3,0,59,0,22,28,153,104,128,126,93,14,666,0,6,12,94,51,92,169,126,74,623,0,21,12,98,46,23,16,5,7,235,0,4,13,127,19,10,6,0,0,177,0,0,6,26,39,31,27,10,5,140,0,16,28,203,111,73,43,14,11,497,0,0,0,15,14,73,168,105,26,411,0,0,0,13,5,21,38,14,4,92,0,0,0,25,8,8,4,0,0,45,5,7,24,279,11,4,0,0,0,330,3,11,17,69,72,113,379,290,100,1049,19,114,165,886,748,952,901,350,76,4217,0,0,0,4,12,21,30,14,0,75
SOSR121,3,3,0,51,28,73,131,75,24,389,0,0,0,0,6,8,17,15,4,48,0,0,3,16,6,11,8,0,0,38,9,9,11,149,29,18,30,13,7,272,0,4,0,22,7,3,13,9,0,59,0,0,0,9,6,3,4,0,0,22,0,0,0,14,4,3,4,0,0,15,0,11,5,33,20,35,38,10,0,152,0,0,7,15,10,34,52,32,19,169,0,3,0,20,16,6,4,0,0,52,0,0,3,24,8,10,3,0,0,39,0,0,0,10,9,11,0,4,3,32,0,0,4,35,22,22,15,9,0,110,0,0,0,0,3,16,43,30,0,95,0,0,0,3,0,5,10,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,10,25,0,0,0,0,0,37,0,6,0,17,26,38,102,71,18,266,0,28,41,229,225,251,245,104,16,1136,0,0,0,0,3,4,5,0,0,11
SOSR122,0,3,0,12,12,32,88,58,10,214,0,0,0,0,0,4,6,7,0,26,0,3,0,9,3,4,3,0,0,19,5,8,0,50,11,11,5,15,4,101,0,0,0,9,11,3,11,0,0,38,0,0,0,5,0,6,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,11,14,16,24,4,0,72,0,0,6,3,3,16,32,28,8,101,0,0,0,8,4,3,3,0,0,28,0,0,0,4,7,3,0,0,0,19,0,0,0,0,5,7,7,0,0,16,0,0,4,35,12,13,8,4,0,79,0,0,0,4,3,7,26,15,0,51,0,0,0,3,0,5,0,0,0,11,0,0,0,3,0,0,0,0,0,5,0,0,4,15,0,0,0,0,0,18,0,4,5,15,8,22,43,16,6,123,6,11,16,103,108,175,145,44,5,611,0,0,0,0,0,4,0,0,0,8
SOSR131,0,30,35,292,271,476,751,437,112,2410,0,0,4,18,21,66,133,89,34,375,7,27,22,67,51,70,52,12,0,302,7,48,89,491,185,198,159,80,16,1266,7,10,20,128,54,43,58,24,10,363,0,6,9,88,50,59,32,10,0,256,0,5,7,67,43,51,38,16,3,229,3,29,24,273,173,176,217,90,16,1007,0,4,13,94,100,320,746,538,255,2069,7,21,19,99,67,50,40,4,3,314,0,4,22,101,44,47,20,8,0,256,0,8,21,190,245,288,164,96,23,1038,0,24,25,202,125,171,93,35,11,694,0,5,8,45,62,276,629,370,64,1463,0,0,5,23,10,25,23,5,3,89,0,0,0,10,11,10,6,9,0,58,0,4,12,49,9,0,0,0,0,73,0,7,24,139,137,251,601,336,69,1568,16,128,260,1203,1321,1722,1358,408,56,6484,0,0,5,16,27,41,32,9,3,135
