SOSR_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,3,0,0,5,10,3,0,6,0,0,26,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,7,16,5,3,4,0,0,33,0,0,0,6,3,5,3,0,0,19,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,12,56,17,17,18,3,0,132,79,160,218,814,375,289,120,30,7,2087,258,382,658,2271,1010,949,648,166,19,6375,0,0,0,0,0,0,0,0,0,0,109,203,390,775,368,422,252,64,17,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,7,9,0,3,0,0,0,15
SOSR201,114,948,1198,2626,1095,779,590,183,46,7567,58,641,1226,4289,2753,1792,1226,607,124,12714,121,1226,3234,14466,5180,4137,3009,1306,373,33047,45,164,265,2339,370,223,252,62,8,3727,85,663,1166,2680,398,135,99,30,6,5256,23,176,273,2470,1974,2150,963,632,109,8760,320,1196,1198,3236,1382,999,653,267,48,9300,138,1107,2980,11215,8441,8785,4682,1376,497,39233,0,42,74,470,337,331,270,177,67,1755,9,57,267,1028,479,274,109,36,3,2261,571,4363,6885,30915,13597,12006,9878,6407,2421,87055,4982,10744,11886,33852,11907,9706,7638,5690,2883,99281,137937,284607,289091,711643,284946,236664,174337,99909,36647,2255791,69,825,1898,4964,1378,693,287,97,26,10237,121026,221887,192061,350585,168521,132712,94213,53202,26574,1360789,20,305,347,2769,484,261,134,18,0,4339,6,11,70,1415,765,1044,602,302,99,4311,19,92,207,2019,325,157,74,28,9,2927,33,202,751,3373,1713,1421,916,350,121,8869,56,271,294,2224,779,463,252,101,34,4468
SOSR203,0,18,25,44,25,23,22,4,0,155,5,33,63,177,110,80,56,18,3,546,8,26,104,405,74,35,33,18,8,693,0,8,5,50,4,0,0,0,0,71,8,160,273,156,21,4,5,0,0,630,0,7,3,26,20,20,12,8,0,89,8,45,48,141,87,54,58,20,0,460,0,23,52,140,54,41,23,4,0,333,0,7,5,32,33,20,31,23,5,153,0,6,20,78,31,11,6,0,0,159,24,169,241,766,297,378,391,332,129,2738,425,1118,1202,2589,1130,1068,925,675,311,9451,11651,24299,24428,51496,21800,20512,17873,10157,3752,185970,0,22,67,126,43,11,9,3,0,280,10645,20519,20731,41530,19436,18762,15941,9015,4644,161221,0,13,15,102,13,5,3,0,0,149,0,0,5,52,43,67,39,30,8,240,0,10,3,80,12,5,0,0,0,110,0,3,8,32,13,8,3,0,0,68,0,17,22,150,49,28,21,8,0,299
SOSR211,0,7,4,13,13,4,3,0,0,51,0,10,24,42,14,14,8,3,0,116,0,21,21,148,62,25,18,4,0,307,0,4,0,11,4,0,0,0,0,15,0,17,31,30,9,0,0,0,0,85,0,0,5,18,12,14,8,6,0,64,4,11,13,33,16,3,17,0,0,103,3,38,15,157,46,45,16,4,0,318,0,0,0,9,4,14,11,3,0,37,0,12,7,29,13,5,3,0,0,74,20,205,369,850,347,246,208,119,40,2420,260,597,431,1055,389,327,230,146,44,3489,4709,8819,7128,17049,6266,5168,4391,1982,487,56005,0,6,3,24,0,4,0,0,0,36,4315,7050,4832,10380,4320,3861,3154,1330,471,39708,0,30,13,165,14,4,5,3,0,227,0,0,0,31,20,21,13,5,0,90,0,0,0,13,5,3,0,0,0,19,0,3,0,24,9,3,0,0,0,40,0,0,0,23,8,4,5,0,0,47
SOSR212,0,11,7,21,12,9,7,0,0,77,4,43,64,123,96,65,33,11,3,440,4,24,31,179,63,34,18,15,5,378,4,0,7,83,4,0,0,0,0,99,0,24,21,70,13,4,3,0,0,139,0,0,8,57,55,60,39,26,4,246,12,42,25,80,37,41,40,10,0,294,7,32,22,136,42,55,20,8,0,312,0,3,5,15,19,13,22,9,5,91,0,4,15,36,24,12,0,0,0,96,31,167,196,724,306,274,237,173,52,2153,366,937,813,1890,913,862,795,613,302,7492,8135,18043,15121,32987,15841,14923,13180,7207,2451,127879,0,30,119,171,69,26,9,5,0,432,7309,14897,12486,26448,13674,13432,11375,6211,2931,108761,0,0,5,38,16,4,0,0,0,71,0,0,0,10,3,6,7,0,0,31,0,3,0,46,8,0,0,0,0,66,3,0,0,28,6,9,5,0,0,50,3,15,5,104,37,22,16,4,3,211
SOSR213,0,6,14,27,13,15,10,4,4,95,4,29,54,106,92,66,30,17,0,393,0,16,21,135,40,18,20,10,0,278,0,0,13,126,9,0,0,0,0,152,5,21,37,74,7,0,0,3,0,147,0,0,8,19,13,12,3,3,0,68,0,24,31,62,38,34,46,25,7,273,3,21,18,137,56,24,10,4,0,276,0,3,3,16,13,20,33,19,7,106,0,0,5,45,25,11,14,4,0,105,11,76,80,432,206,239,267,186,73,1565,328,815,666,1611,828,801,891,672,321,6940,7663,16022,13778,29476,14217,14588,14037,8420,2897,121091,0,3,3,24,4,0,0,0,0,37,6987,13633,11501,24931,12832,12956,11796,7211,3449,105294,0,0,0,20,5,0,3,0,0,32,0,0,0,13,4,11,11,0,0,51,0,0,0,26,0,5,0,0,0,38,0,4,0,19,8,0,0,0,0,27,8,12,10,53,25,32,17,11,3,158
SOSR214,0,4,5,10,6,3,6,0,0,36,0,5,9,35,30,22,26,12,6,149,0,5,5,58,13,11,11,3,0,120,0,0,6,82,0,0,0,0,0,91,0,15,13,33,8,0,0,0,0,68,0,0,0,3,10,8,3,3,0,31,0,7,12,27,11,23,25,14,0,122,0,5,8,22,12,3,3,0,0,53,0,0,0,5,4,15,23,9,7,67,0,0,5,11,5,3,6,0,0,34,7,20,36,174,85,111,141,145,47,762,168,466,368,949,539,662,710,577,255,4681,3748,8238,7263,14866,7895,9208,10239,6397,2180,70033,0,0,0,0,0,0,0,0,0,4,3419,6979,5849,12479,7214,8290,8689,5174,2522,60617,0,0,0,19,0,0,0,0,0,22,0,0,0,5,4,7,3,0,0,18,0,0,0,7,7,0,0,0,0,10,4,6,7,14,0,0,0,0,0,25,0,0,0,28,16,26,11,4,0,92
SOSR215,0,7,6,4,11,12,5,0,0,46,5,7,16,85,69,46,34,17,0,277,0,11,11,83,21,16,9,11,0,155,8,0,0,27,0,0,0,0,0,36,0,32,28,52,9,8,3,0,0,135,0,0,0,16,11,17,4,3,0,53,3,19,21,54,34,46,56,17,0,255,3,14,10,65,27,34,13,3,0,165,0,5,5,15,15,20,34,19,3,110,0,0,3,11,10,5,3,3,0,46,3,37,42,275,188,194,243,176,62,1227,296,816,708,1670,961,1170,1154,766,315,7855,6408,14190,11058,24066,13059,14946,15028,8357,2708,109821,0,0,9,0,0,0,0,0,0,7,5651,12238,9068,20651,11242,12812,11881,6736,3273,93547,0,0,0,9,0,0,0,0,0,14,0,0,0,7,3,5,5,4,0,12,0,0,0,25,3,0,0,0,0,35,0,6,0,35,12,8,3,3,0,71,0,4,0,63,24,28,24,7,3,149
SOSR221,0,0,0,0,3,0,0,0,0,7,0,10,7,13,10,14,12,8,0,70,0,0,0,8,0,6,8,3,0,24,0,0,0,0,0,0,0,0,0,3,0,0,9,15,5,0,0,0,0,24,0,0,0,0,3,9,0,3,0,10,3,3,9,13,16,5,22,7,0,72,0,3,0,9,6,5,4,0,0,16,0,0,0,0,3,8,4,3,0,33,0,3,0,0,7,0,3,0,0,14,0,9,18,76,43,72,73,31,14,341,80,193,166,415,318,395,413,230,89,2298,1575,3783,2825,6106,3797,4832,4826,2311,653,30711,0,0,0,0,0,0,0,0,0,0,1500,3213,2366,5368,3303,3822,3342,1606,715,25237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,5,0,0,0,9,3,8,12,6,0,34
SOSR222,0,0,0,4,0,0,0,0,0,7,0,0,0,4,10,8,10,0,0,41,0,0,0,9,0,0,3,0,0,12,0,0,0,14,0,0,0,0,0,11,0,3,8,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,7,0,8,4,13,4,6,10,0,3,48,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,4,3,5,0,20,0,0,0,0,0,0,0,0,0,5,0,4,4,25,18,19,45,18,12,156,47,146,155,313,229,272,255,121,40,1571,791,1992,1580,3379,2200,2760,2525,1122,298,16656,0,0,0,0,0,0,0,0,0,0,701,1754,1337,2768,1790,2156,1643,790,307,13245,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,3,0,0,7,0,0,0,10,0,7,3,0,0,20
