SAL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
SAL10001,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,6,39,26,6,15,0,107,0,0,0,0,6,3,3,0,0,8,88,19,9,6,14,37,6,21,9,200,0,8,6,0,16,14,0,5,0,48,24,14,8,5,24,8,6,10,0,97,17,9,0,3,3,4,3,0,0,44,7,5,3,6,24,8,6,12,0,67,0,0,0,0,9,9,0,7,0,29,0,0,0,0,20,12,5,7,0,46,0,0,0,3,4,6,0,4,0,19,0,4,9,0,19,30,0,11,0,79,6,5,0,3,0,9,0,0,0,18,9,0,4,0,23,13,4,0,0,56,9,4,0,0,4,12,4,4,0,32,0,8,0,5,9,13,0,9,0,46,3,0,0,0,4,0,0,0,0,7,5,0,4,0,13,13,3,4,0,43,5,3,12,4,8,9,3,3,16,55
SAL10003,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,5,4,3,6,11,9,10,0,54,0,0,0,0,5,3,0,0,0,12,27,17,4,5,15,35,10,33,0,148,4,5,5,0,6,17,5,12,0,53,9,15,8,9,15,15,8,11,0,94,5,16,8,0,9,8,4,10,0,52,0,4,4,5,3,19,5,15,0,58,0,4,5,0,15,12,9,6,0,40,4,7,5,4,15,42,9,43,0,125,5,5,4,4,11,12,6,7,0,44,3,19,15,12,35,64,17,64,7,235,3,3,6,0,0,14,0,6,0,35,5,4,4,3,19,32,12,13,0,83,4,12,0,5,11,18,6,13,0,74,0,11,9,3,7,20,8,19,0,79,3,0,0,0,3,3,0,4,0,20,4,9,5,0,5,13,5,8,0,46,0,6,0,3,10,16,0,20,15,76
SAL10004,0,0,0,0,4,0,0,4,0,7,3,0,0,0,0,0,0,5,0,12,0,0,0,0,4,8,5,9,0,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,12,12,8,7,0,43,0,0,0,0,0,0,0,3,0,7,0,9,0,0,4,0,3,5,0,31,0,9,0,0,0,7,0,0,0,13,0,4,4,3,0,3,0,4,0,19,0,0,0,0,0,4,0,0,0,9,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,8,0,10,0,0,0,0,0,0,0,0,0,8,0,5,0,0,15,9,0,3,0,39,0,0,3,0,0,3,0,3,0,16,0,0,3,7,5,9,3,6,0,30,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,3,0,0,0,15,0,0,0,0,0,5,0,0,0,7
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,0,0,0,4,0,0,0,0,4,0,0,5,0,17,20,4,26,0,69,8,4,0,6,14,11,12,12,0,56,0,0,4,0,3,0,0,3,0,10,3,11,4,8,15,33,6,18,4,96,0,0,0,0,3,3,0,3,0,16,0,11,6,3,5,5,0,0,0,37,4,18,3,3,0,7,0,0,0,40,3,0,4,0,10,8,3,12,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,3,3,0,0,0,14,0,0,0,0,10,3,0,5,0,18,0,5,0,3,8,13,7,4,0,37,0,0,0,0,0,4,0,5,0,7,0,7,9,10,10,4,0,3,0,33,0,4,0,4,0,0,0,0,0,6,0,0,4,3,11,13,0,0,0,24,0,4,0,0,3,8,3,4,0,26
SAL10007,0,5,5,4,5,11,3,7,0,37,12,5,6,0,26,26,20,57,4,156,0,0,0,0,12,18,4,6,0,44,0,0,0,0,4,9,0,4,0,21,5,4,0,0,5,29,5,16,0,67,0,0,0,0,4,4,6,6,0,15,5,6,0,5,0,4,0,0,0,20,0,9,3,0,0,0,0,3,0,21,0,0,3,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,5,0,0,0,10,0,0,0,6,8,0,0,0,0,16,0,3,4,0,0,4,0,0,0,12,0,0,4,0,0,8,0,0,0,9,0,0,0,0,4,0,0,0,0,5,0,0,0,0,7,10,3,4,0,30,0,0,0,0,0,5,0,0,11,24
SAL10008,0,3,0,0,6,4,3,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SAL10009,0,0,3,3,5,6,5,4,0,22,14,0,11,0,40,67,42,125,5,296,3,6,0,5,36,49,25,25,0,150,0,4,0,0,14,20,0,6,0,53,7,4,7,8,40,64,36,47,0,214,0,0,3,0,14,21,8,21,0,65,5,29,16,11,24,22,8,12,0,130,15,30,11,5,6,7,0,5,0,83,3,8,10,5,26,25,11,37,0,120,0,0,0,0,4,0,0,0,0,7,3,0,0,6,9,3,8,4,0,22,3,0,0,0,7,0,0,3,0,15,0,0,5,8,13,14,5,9,0,53,6,3,3,6,16,9,4,14,0,58,3,5,0,4,42,31,6,13,0,102,4,12,0,0,11,16,0,4,0,39,5,7,10,11,26,20,0,5,0,88,3,0,0,0,0,5,0,0,0,7,6,4,5,4,23,18,10,13,0,77,0,7,8,0,13,17,5,9,10,71
SAL10010,0,0,0,0,6,0,0,0,0,8,6,0,4,0,12,25,11,24,0,73,3,0,4,5,29,21,14,6,0,80,0,0,0,0,3,0,0,5,0,10,4,6,4,7,16,32,0,22,0,104,5,0,0,0,8,5,5,0,0,21,0,0,0,3,7,5,0,0,0,28,7,17,3,0,4,4,3,0,0,29,5,5,4,0,5,11,5,14,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,14,0,0,0,4,6,0,0,0,0,13,3,3,3,0,9,3,0,3,0,30,4,6,0,0,8,0,3,0,0,20,0,0,0,4,5,0,0,0,0,6,0,5,10,4,9,6,6,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,3,0,14,0,0,0,0,28,0,0,5,3,8,8,0,3,0,33
