SAL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SAL10001,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,53,107,189,142,208,248,63,7,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,13,20,13,11,0,0,61,0,0,0,0,6,0,0,0,0,10,0,0,7,12,12,19,3,0,0,52,0,0,5,0,6,6,0,0,0,31,17,22,13,13,24,32,9,0,0,121,22,15,12,0,10,3,0,0,0,59,0,4,0,4,4,5,0,0,0,24,0,0,3,6,0,0,0,0,0,7,3,8,7,10,15,4,0,0,0,58,0,4,3,0,4,4,0,0,0,21,0,11,23,15,20,4,3,0,0,80,0,0,7,3,9,6,0,0,0,23,0,4,8,7,21,12,0,0,0,61,6,17,34,29,49,47,3,0,0,189,8,26,31,16,29,36,15,0,0,158,5,0,0,0,0,0,0,0,0,10,0,0,9,5,5,6,0,0,0,25
SAL10003,32,75,223,299,305,250,131,18,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,10,10,3,0,0,47,0,0,0,0,3,0,0,0,0,3,0,3,11,13,11,10,0,0,0,46,0,0,0,7,7,5,6,0,0,33,10,10,16,16,18,14,8,0,0,98,17,6,4,8,4,10,3,0,0,60,0,0,3,11,7,4,0,0,0,25,0,0,11,8,10,0,0,0,0,19,0,3,28,30,29,16,5,0,0,123,0,0,9,5,7,9,6,0,0,31,3,10,38,49,39,24,16,0,0,179,0,0,5,16,19,9,3,0,0,52,0,3,13,23,22,13,6,0,0,84,8,7,29,44,44,43,23,0,0,200,4,15,47,42,54,60,14,0,0,249,3,0,3,6,8,0,0,0,0,23,0,4,8,13,16,3,5,0,0,43
SAL10004,26,23,54,59,76,57,14,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,11,0,0,6,3,0,8,0,0,0,5,8,5,0,5,4,9,0,0,0,32,10,0,3,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,6,0,0,3,5,6,5,0,0,0,14,0,0,0,0,4,0,0,0,0,8,0,0,9,7,5,5,0,0,0,30,0,0,8,14,17,13,0,0,0,52,4,0,12,23,23,18,7,0,0,84,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SAL10005,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,38,57,141,98,124,80,13,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,0,9,9,3,8,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,8,11,6,17,14,17,11,0,0,0,74,15,10,17,9,7,11,0,0,0,72,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,8,0,3,4,0,0,4,0,0,0,10,0,6,16,9,6,0,0,0,0,32,0,3,9,5,12,0,0,0,0,35,0,3,13,11,13,4,5,0,0,51,8,10,23,36,28,30,4,0,0,140,0,0,4,0,3,0,0,0,0,5,0,4,8,7,0,0,0,0,0,20
SAL10007,31,48,87,102,112,92,19,9,0,508,0,6,11,6,5,6,9,0,0,34,0,3,6,5,8,4,0,0,0,29,0,0,10,0,3,5,0,0,0,18,0,0,0,0,5,4,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,6,3,7,11,10,11,0,0,0,49,13,3,8,3,7,7,0,0,0,42,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,3,0,6,6,3,4,0,0,0,0,25,0,0,6,6,4,4,0,0,0,18,0,0,4,5,0,5,0,0,0,20,5,3,5,14,14,6,4,0,0,46,6,5,12,12,26,19,3,0,0,83,0,0,0,0,0,0,0,0,0,6,4,5,0,0,3,4,0,0,0,22
SAL10008,0,4,5,7,8,7,6,6,0,39,0,0,0,6,8,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10009,96,161,432,429,301,217,36,0,0,1672,0,0,0,0,3,0,0,0,0,6,0,0,12,12,12,0,0,0,0,35,0,10,19,12,11,0,0,0,0,55,0,0,4,0,3,0,0,0,0,13,0,0,11,22,14,8,0,0,0,57,0,8,0,5,3,0,0,0,0,21,37,30,53,38,45,22,4,0,0,230,60,14,26,32,10,6,0,0,0,158,0,0,0,9,12,3,0,0,0,26,0,0,0,3,0,0,0,0,0,7,5,4,17,18,11,0,0,0,0,58,0,0,4,11,0,0,0,0,0,20,0,3,17,26,6,4,0,0,0,63,4,5,18,11,17,6,0,0,0,65,0,4,28,27,28,11,6,0,0,95,10,22,41,55,45,32,3,0,0,197,12,48,126,106,92,66,3,0,0,457,0,3,5,3,4,0,0,0,0,11,4,14,25,13,15,3,0,0,0,78
SAL10010,36,60,132,120,125,102,13,0,0,577,0,3,0,0,0,0,0,0,0,5,0,0,6,4,0,0,0,0,0,10,0,0,6,4,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,18,0,0,0,0,3,0,0,0,0,7,11,9,15,20,17,8,0,0,0,71,13,9,6,7,3,8,0,0,0,53,0,0,3,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,0,0,0,15,0,0,0,0,0,6,0,0,0,8,0,0,7,7,3,0,0,0,0,17,0,4,3,4,8,7,0,0,0,27,0,0,5,6,3,0,0,0,0,21,0,3,9,14,3,4,0,0,0,42,0,8,37,34,28,32,5,0,0,148,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,4,0,0,0,21
