SAL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SAL10001,..,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,11,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10002,..,0,53,119,210,285,180,59,16,921,..,5,11,16,18,9,4,0,0,55,..,0,0,0,0,3,6,4,0,19,324,..,..,..,..,..,..,..,..,324,..,141,..,..,..,..,..,..,..,141,..,141,170,48,8,5,0,0,0,372,..,6,4,4,10,11,6,6,3,55,..,0,4,0,5,5,0,0,0,16,..,0,0,0,0,0,3,0,0,10,..,0,6,5,8,18,20,5,3,59,3,3,7,5,0,6,0,0,0,20,327,295,256,198,259,345,221,72,26,1999,..,3,76,142,241,289,137,30,4,927,..,4,10,11,19,14,4,0,0,59,..,3,9,17,37,36,13,6,3,129,299,..,..,..,..,..,..,..,..,299,..,199,..,..,..,..,..,..,..,199,..,112,112,23,9,9,0,0,0,271,..,8,10,5,7,8,24,18,10,81,..,0,3,0,0,0,0,0,0,8
SAL10003,..,3,76,203,222,199,225,142,42,1108,..,0,61,48,29,27,27,5,0,192,..,0,0,8,11,17,0,4,0,43,400,..,..,..,..,..,..,..,..,400,..,113,..,..,..,..,..,..,..,113,..,65,56,27,23,19,3,0,0,191,..,8,13,4,6,3,9,6,0,39,..,0,3,0,0,3,0,0,0,12,..,4,13,8,10,5,9,4,0,47,..,0,25,33,38,53,59,36,14,251,8,0,4,0,3,3,3,4,0,39,412,205,244,329,345,324,329,201,58,2441,..,0,105,228,223,190,223,101,17,1103,..,8,70,51,34,36,15,5,3,215,..,0,9,38,67,38,22,13,11,186,361,..,..,..,..,..,..,..,..,361,..,146,..,..,..,..,..,..,..,146,..,48,41,9,9,7,0,0,0,117,..,3,5,3,3,9,11,11,8,54,..,0,5,4,0,0,0,0,3,9
SAL10004,..,0,22,41,57,50,42,24,0,234,..,6,7,12,5,4,0,0,0,28,..,0,0,0,3,0,0,0,0,9,115,..,..,..,..,..,..,..,..,115,..,27,..,..,..,..,..,..,..,27,..,28,12,0,0,0,0,0,0,43,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,5,..,3,4,0,0,3,0,0,0,13,..,0,5,4,0,9,0,3,0,27,0,0,0,0,0,0,0,0,0,9,121,67,50,59,75,65,47,27,0,518,..,0,29,55,57,61,25,9,0,239,..,4,6,8,4,3,0,0,0,32,..,0,3,12,22,7,0,0,0,44,119,..,..,..,..,..,..,..,..,119,..,37,..,..,..,..,..,..,..,37,..,16,6,0,0,0,0,0,0,30,..,3,0,0,0,0,0,4,5,13,..,0,0,0,0,0,0,0,0,0
SAL10005,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,3,0,10,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10006,..,4,45,59,73,70,63,34,6,340,..,21,53,20,23,20,6,0,0,138,..,0,3,6,5,9,4,0,3,28,246,..,..,..,..,..,..,..,..,246,..,49,..,..,..,..,..,..,..,49,..,69,23,16,10,4,0,0,0,127,..,5,16,5,6,8,3,0,3,42,..,4,5,3,3,0,0,0,0,16,..,0,8,4,6,7,3,4,0,33,..,6,17,20,31,26,35,17,0,151,8,8,3,0,0,4,4,0,0,26,254,159,178,129,157,138,110,59,13,1198,..,0,57,55,76,69,58,24,0,348,..,28,51,17,12,16,9,0,0,130,..,16,28,46,32,20,12,8,0,159,230,..,..,..,..,..,..,..,..,230,..,54,..,..,..,..,..,..,..,54,..,37,18,7,0,5,0,0,0,59,..,11,0,0,0,9,6,4,4,42,..,4,5,0,0,0,0,0,0,14
SAL10007,..,3,24,57,60,78,65,36,12,334,..,19,44,18,19,12,10,5,0,122,..,0,0,6,14,4,4,0,0,26,187,..,..,..,..,..,..,..,..,187,..,40,..,..,..,..,..,..,..,40,..,50,8,5,6,5,0,0,0,74,..,0,0,3,0,3,3,0,0,10,..,3,3,0,0,4,0,0,0,9,..,0,0,3,8,5,4,0,0,19,..,5,15,16,30,32,25,15,0,139,0,3,0,5,4,0,0,0,0,18,194,130,102,113,134,135,113,60,13,987,..,0,43,70,58,85,58,24,8,350,..,29,46,20,19,11,8,0,0,124,..,0,15,16,12,9,3,5,3,56,170,..,..,..,..,..,..,..,..,170,..,34,..,..,..,..,..,..,..,34,..,29,5,0,0,3,0,0,0,37,..,9,0,0,0,0,7,7,0,20,..,4,0,0,0,0,0,0,0,3
SAL10008,..,0,3,6,8,8,6,7,0,28,..,0,0,6,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,5,7,8,7,7,7,0,60,..,0,3,5,9,3,9,0,0,28,..,0,0,0,3,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL10009,..,5,177,298,239,214,155,55,8,1143,..,46,132,72,38,17,9,0,0,318,..,0,6,10,14,11,0,4,0,44,790,..,..,..,..,..,..,..,..,790,..,131,..,..,..,..,..,..,..,131,..,154,51,23,9,3,0,0,0,248,..,12,13,3,0,3,4,3,0,52,..,17,18,16,7,3,0,0,0,56,..,4,25,8,3,7,4,4,0,51,..,11,31,25,17,19,9,8,4,121,18,7,11,8,3,0,4,0,0,68,807,388,467,459,337,283,190,78,9,3016,..,12,224,329,248,215,132,37,4,1191,..,58,139,74,41,20,4,0,0,334,..,8,69,63,74,21,14,9,9,270,791,..,..,..,..,..,..,..,..,791,..,177,..,..,..,..,..,..,..,177,..,130,35,6,11,0,0,0,0,185,..,3,5,8,3,13,12,7,7,59,..,12,9,0,6,0,0,0,0,22
SAL10010,..,0,49,74,71,88,57,32,9,377,..,14,53,25,32,13,4,0,0,133,..,0,8,6,16,4,0,3,0,36,287,..,..,..,..,..,..,..,..,287,..,45,..,..,..,..,..,..,..,45,..,69,22,17,13,5,0,0,0,133,..,10,5,3,6,14,3,0,0,36,..,5,0,3,3,5,0,0,0,16,..,4,7,3,8,6,9,3,0,39,..,6,11,7,23,29,13,17,0,112,10,7,3,0,5,4,0,5,0,29,293,156,156,149,169,157,100,57,8,1243,..,0,62,77,69,92,56,25,7,388,..,17,54,23,22,18,4,0,0,143,..,8,23,32,19,9,12,4,3,107,257,..,..,..,..,..,..,..,..,257,..,36,..,..,..,..,..,..,..,36,..,42,24,3,6,0,0,0,0,74,..,5,0,0,5,8,11,7,0,36,..,9,0,0,0,0,0,0,0,12
