SAL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SAL10001,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,7,49,0,9,9,0,0,0,0,83,9,90,0,16,8,0,0,0,0,120,25,36,4,6,96,19,0,0,3,200,14,37,0,25,23,6,0,4,3,103,4,16,0,4,4,9,0,0,0,45,10,0,6,7,13,3,0,4,0,44,0,0,0,0,0,0,0,0,0,3,4,3,0,0,7,0,0,0,0,10,0,0,0,5,0,4,0,0,0,14,81,245,23,73,174,46,6,9,13,667,0,21,8,0,0,6,0,0,0,42,8,19,7,0,12,0,0,0,0,50,36,39,85,5,12,12,26,17,0,227,25,11,60,0,7,0,6,7,5,125,0,0,0,0,0,0,0,0,0,9,11,77,3,13,9,3,0,0,0,121,11,101,0,16,8,0,0,0,0,143,86,83,11,8,124,37,13,4,5,369,20,49,0,35,23,5,3,5,0,145,7,23,3,4,9,10,3,0,0,60
SAL10003,12,99,3,5,18,3,0,0,0,150,25,86,0,12,13,0,0,0,0,135,105,104,0,3,118,34,0,0,4,377,31,88,3,22,31,3,0,3,5,194,12,41,3,3,6,3,0,0,0,86,5,0,3,3,10,4,0,0,0,28,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,7,0,5,0,7,0,5,0,4,3,26,226,492,37,64,218,57,0,15,19,1123,20,42,5,0,7,4,0,0,0,86,32,51,4,0,5,0,3,0,3,101,56,79,61,12,17,11,5,8,4,251,32,27,37,0,3,8,6,3,6,126,6,4,0,0,3,0,0,0,0,20,25,153,3,10,15,7,0,0,3,218,27,110,0,12,16,0,0,4,0,167,223,213,12,6,154,71,4,13,10,702,54,154,8,30,39,8,0,3,4,303,21,59,17,3,11,8,0,3,0,124
SAL10004,9,21,4,6,6,0,0,6,0,37,9,34,0,5,4,0,0,0,0,52,10,8,0,3,31,4,0,4,0,60,3,12,0,7,5,0,0,0,0,36,4,6,3,0,0,0,0,0,0,15,0,0,6,9,4,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,80,11,26,50,7,0,12,0,228,0,6,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,12,7,29,4,0,3,12,0,0,78,8,0,16,0,0,4,4,0,0,33,5,5,0,0,5,0,0,0,0,14,6,28,4,6,6,0,0,6,0,54,7,38,0,10,4,0,0,0,0,64,32,17,4,3,41,3,0,3,0,103,5,18,0,13,8,4,0,0,0,50,5,6,3,0,0,0,0,0,0,12
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10006,0,23,0,24,4,0,0,3,0,57,0,13,0,14,4,0,0,0,0,34,6,9,0,9,37,16,0,6,0,84,0,0,0,56,7,7,0,0,0,82,4,0,0,0,0,0,0,3,0,4,4,4,9,11,0,0,0,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,61,15,115,56,28,8,27,4,337,0,0,0,3,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,9,9,3,78,9,4,0,39,16,0,148,0,0,21,0,0,0,8,6,0,36,0,0,3,0,0,0,9,7,0,19,0,22,0,29,4,0,5,3,0,66,0,24,0,12,4,0,0,0,0,48,14,16,7,12,41,21,10,13,0,125,4,7,0,69,7,10,0,4,4,111,4,0,0,0,0,0,0,3,0,13
SAL10007,0,18,8,9,3,0,4,0,0,32,3,15,0,11,3,0,3,0,0,36,9,12,0,4,29,8,0,6,0,66,3,10,0,29,0,0,3,3,0,49,0,0,0,0,0,0,0,0,0,3,0,0,9,5,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,57,25,53,47,17,14,16,5,250,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,0,99,0,0,0,39,12,6,178,5,0,9,0,0,0,11,7,0,40,5,0,7,0,4,0,4,6,0,22,0,24,8,9,3,0,6,4,0,40,5,21,0,11,3,0,5,0,0,41,11,13,6,4,32,8,4,9,3,85,0,8,0,30,0,0,3,4,0,53,0,0,0,0,0,0,0,0,0,11
SAL10008,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,0,3,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10009,10,102,10,51,14,0,0,0,0,192,17,73,0,45,11,3,3,0,0,153,43,40,10,33,140,35,6,7,8,311,13,45,0,112,22,13,5,8,0,228,0,8,0,5,5,3,0,0,0,19,4,5,32,43,18,15,8,7,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,4,0,0,5,4,19,107,299,61,306,227,83,26,30,12,1146,10,8,5,3,3,0,0,0,0,32,4,18,4,8,0,3,4,3,0,42,54,55,293,8,17,12,86,27,6,557,9,3,45,6,4,4,16,9,4,105,4,8,13,9,5,3,8,11,0,48,20,134,13,63,21,0,4,3,0,259,19,97,5,50,11,3,0,0,0,184,77,77,29,39,160,42,20,13,11,456,17,56,7,135,27,16,11,10,4,289,3,11,4,5,5,0,3,0,0,27
SAL10010,4,20,5,23,7,0,0,5,0,59,0,14,0,11,0,0,0,0,0,33,8,14,4,4,52,14,0,9,0,105,5,5,0,30,6,0,0,0,0,57,0,0,0,0,3,0,0,0,0,4,3,0,9,9,3,9,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,28,63,25,82,78,26,4,26,0,326,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,10,6,102,0,4,0,44,18,0,184,12,0,20,0,0,0,11,8,0,47,0,0,8,0,0,0,3,0,0,16,6,29,5,27,9,0,4,5,0,75,0,20,0,11,0,0,0,5,0,40,14,12,7,13,58,17,5,11,0,131,8,7,0,38,7,6,0,3,0,74,0,0,5,0,3,0,0,3,0,9
SAL10011,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,3,0,3,7,0,0,0,0,19,0,0,0,6,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,4,15,13,4,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,22,0,0,3,3,3,0,34,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,8,0,3,0,3,9,0,0,0,0,19,0,0,0,9,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
