SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL50292,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,5,0,0,14,..,0,4,3,0,3,3,4,0,15,..,0,0,3,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,3,3,4,0,30
SAL50293,..,11,16,0,3,0,0,0,0,35,..,5,23,20,25,31,30,33,8,183,0,0,0,6,0,0,0,0,0,7,315,230,186,273,286,217,154,107,32,1808,..,4,108,353,386,306,232,123,25,1539,..,13,77,29,19,17,9,3,0,165,..,0,3,40,50,27,8,7,8,141,669,..,..,..,..,..,..,..,..,669,..,290,..,..,..,..,..,..,..,290,..,87,58,14,9,3,0,0,0,173,..,13,8,6,0,10,12,11,11,65,..,9,5,3,0,0,0,0,0,24,..,25,29,7,3,0,6,0,0,73,..,13,46,41,37,53,48,49,11,295,0,4,0,8,3,3,3,0,0,16,669,453,342,492,516,417,311,196,56,3455
SAL50294,..,3,14,0,4,0,0,3,0,27,..,3,0,5,3,25,52,100,95,283,0,6,3,3,0,0,0,4,5,25,552,431,155,319,552,472,299,304,178,3253,..,0,56,418,879,766,469,369,139,3104,..,6,45,56,70,60,15,11,6,274,..,0,0,13,53,35,7,13,14,144,1148,..,..,..,..,..,..,..,..,1148,..,669,..,..,..,..,..,..,..,669,..,163,136,20,14,16,0,0,0,355,..,28,6,0,0,6,8,13,14,82,..,3,9,0,4,0,0,0,0,29,..,17,76,5,7,0,4,3,0,100,..,7,3,20,15,35,71,128,124,414,5,16,9,4,10,4,3,10,4,61,1155,918,346,543,1060,936,588,542,306,6384
SAL50295,..,0,0,0,0,0,5,0,0,9,..,0,0,0,4,3,0,5,0,13,3,0,0,0,0,0,0,0,0,13,16,12,17,8,19,31,27,7,0,154,..,0,10,9,14,24,21,9,0,86,..,0,11,11,18,7,7,4,0,62,..,0,3,0,4,0,0,0,0,12,47,..,..,..,..,..,..,..,..,47,..,3,..,..,..,..,..,..,..,3,..,8,3,6,0,0,0,0,0,14,..,3,0,0,0,0,3,0,0,14,..,0,0,0,0,0,0,0,0,0,..,3,0,6,0,0,4,0,0,13,..,0,0,3,7,12,9,6,4,38,4,0,0,0,0,4,3,5,0,19,47,24,33,30,46,56,55,19,4,308
SAL50296,..,70,55,6,12,10,6,3,0,159,..,47,92,65,50,108,159,202,132,852,7,14,16,6,4,6,5,0,0,71,578,556,496,483,585,535,504,440,199,4379,..,5,194,561,648,577,547,454,112,3099,..,52,265,100,80,67,65,22,4,654,..,0,7,50,149,73,28,12,13,351,1173,..,..,..,..,..,..,..,..,1173,..,559,..,..,..,..,..,..,..,559,..,151,105,29,19,13,9,0,0,329,..,50,25,0,6,10,19,9,15,132,..,18,24,8,0,0,0,0,0,53,..,125,139,15,13,18,5,5,0,331,..,75,174,111,109,186,239,271,170,1337,24,19,39,12,11,13,9,8,3,137,1200,1067,981,887,1047,963,917,790,312,8160
SAL50297,..,59,54,19,17,12,15,3,0,184,..,22,75,67,71,130,113,59,16,562,19,34,27,15,8,8,6,3,0,121,1348,840,1230,1043,871,728,431,195,38,6721,..,30,708,1078,892,745,449,188,19,4114,..,177,661,295,168,84,32,6,3,1428,..,18,153,235,260,163,56,22,6,902,2801,..,..,..,..,..,..,..,..,2801,..,576,..,..,..,..,..,..,..,576,..,546,327,83,28,16,0,0,0,1001,..,83,80,23,23,46,52,31,15,357,..,44,60,19,17,9,4,0,0,153,..,104,105,45,37,31,30,6,3,365,..,50,160,208,182,245,170,78,24,1118,35,56,46,31,18,11,9,3,0,222,2836,1679,2298,2024,1628,1351,799,348,65,13035
SAL50298,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50299,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
SAL50300,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50301,..,51,58,15,23,11,10,4,4,173,..,34,89,52,60,81,87,81,70,551,9,16,16,9,9,3,9,3,0,67,720,545,790,583,498,362,323,197,116,4131,..,19,492,673,483,311,287,153,46,2459,..,129,360,136,94,70,30,6,0,833,..,18,57,90,116,65,40,25,23,442,1407,..,..,..,..,..,..,..,..,1407,..,359,..,..,..,..,..,..,..,359,..,218,147,44,42,33,12,0,0,491,..,95,65,26,16,42,41,21,9,319,..,41,76,18,12,14,4,0,0,168,..,106,181,73,42,38,13,8,4,467,..,55,186,138,120,181,153,113,96,1032,29,26,29,18,17,12,9,9,0,145,1433,1080,1586,1216,933,770,581,333,183,8129
