SAL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SAL10001,0,0,0,9,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,15,3,33
SAL10002,94,90,51,369,0,606,0,3,0,10,0,15,158,4,14,6,0,179,163,37,16,57,3,276,5,5,0,0,0,8,123,35,25,203,0,379,75,0,8,0,0,87,5,3,0,0,0,12,24,0,10,28,0,66,58,5,5,25,0,98,4,0,0,3,0,9,40,0,0,0,0,44,20,7,12,72,0,118,502,98,47,313,0,964,4,0,0,0,0,4,46,16,19,16,0,94,43,7,0,28,0,77,80,15,10,52,0,160,7,0,0,3,0,13,5,0,0,0,0,13,23,4,0,12,0,40,41,3,0,4,0,54,14,0,0,0,0,14,16,7,6,52,0,80,65,4,4,17,0,90,3,0,0,3,0,7,54,0,4,5,0,69,10,0,0,0,0,10,148,11,10,0,0,175,6,0,0,0,0,6,1083,83,84,57,4,1313,27,0,4,7,113,151,2638,278,199,948,126,4200
SAL10003,56,188,151,789,14,1188,0,4,0,43,0,49,363,22,20,26,3,429,41,6,4,17,0,69,22,8,9,20,6,60,297,143,103,785,23,1348,42,5,9,4,0,56,26,0,0,12,0,39,55,17,3,62,0,136,99,25,12,71,0,208,30,0,5,10,0,45,69,10,0,5,0,85,113,47,36,448,3,653,653,111,35,259,3,1061,51,0,0,0,0,53,66,12,5,30,0,114,9,6,0,4,0,16,25,9,3,20,0,56,12,8,0,0,0,14,19,11,9,0,0,37,37,0,8,8,0,54,32,3,4,10,0,48,0,6,0,0,0,0,79,46,28,273,0,420,28,8,5,10,0,49,16,10,0,0,0,28,47,0,0,16,0,61,12,0,0,0,0,12,28,0,4,0,0,29,7,7,4,19,0,35,482,63,53,83,9,693,13,0,10,8,259,296,2413,433,305,1981,304,5431
SAL10004,3,39,20,433,6,509,0,3,0,56,0,61,4,0,0,3,0,8,0,0,3,0,0,6,4,0,0,15,0,20,36,38,28,357,0,465,7,0,0,0,0,10,4,0,0,4,0,7,11,8,0,25,0,46,0,0,0,5,0,5,0,0,0,0,0,0,8,0,0,0,0,8,9,16,0,177,4,201,5,10,3,21,0,31,0,0,0,0,0,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,12,118,0,148,0,0,0,4,0,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,19,7,12,21,0,53,0,0,0,16,27,43,110,84,50,859,26,1127
SAL10005,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,21
SAL10006,7,76,44,1069,11,1204,0,3,3,263,0,272,9,0,0,0,0,8,6,0,0,3,0,4,8,3,7,15,0,29,74,57,51,931,9,1121,16,0,0,0,0,20,0,0,0,6,0,8,13,9,0,73,0,97,0,5,0,9,0,9,0,0,0,0,0,0,10,6,0,0,0,16,15,7,6,153,0,181,11,4,0,40,0,55,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,9,6,0,0,0,0,9,0,3,0,0,0,4,3,0,0,0,0,3,4,0,0,4,0,13,0,0,0,0,0,0,31,23,18,267,0,333,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,15,38,7,6,54,0,113,0,0,0,28,69,103,213,119,81,2040,96,2542
SAL10007,6,43,29,881,6,965,0,9,3,188,0,197,11,0,0,0,0,14,0,0,0,0,0,0,3,8,0,12,0,27,66,46,17,727,15,869,4,0,5,0,0,7,0,0,0,7,0,9,7,4,0,49,0,66,3,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,20,4,0,193,0,215,3,0,0,20,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,6,3,3,4,0,15,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,149,0,176,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,3,0,11,28,4,16,18,0,66,0,0,0,23,86,107,158,82,50,1661,103,2051
SAL10008,0,0,5,51,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,44,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,11,98,3,121
SAL10009,47,190,144,2549,10,2941,0,6,9,473,4,494,27,0,6,17,0,52,8,3,6,3,0,27,24,10,15,49,0,93,210,182,134,2147,9,2680,43,0,14,7,0,63,8,0,0,16,0,27,32,17,9,193,3,266,4,5,5,13,0,26,3,0,0,8,0,13,109,0,0,0,0,110,50,40,25,555,5,660,18,8,4,75,0,104,13,0,0,0,0,13,3,7,0,7,0,19,0,0,0,6,0,13,11,6,4,23,0,43,8,12,0,23,0,46,24,12,12,4,0,47,27,8,0,31,0,63,4,0,0,14,0,15,3,4,0,0,0,11,59,43,32,517,0,651,3,0,10,3,0,18,25,0,0,5,0,35,14,0,0,6,0,22,5,0,0,0,0,5,12,0,0,0,0,12,10,6,8,28,0,51,282,46,38,71,0,433,8,7,0,55,170,246,887,352,256,4857,193,6552
SAL10010,6,62,48,1152,4,1271,0,7,5,255,0,269,0,0,5,8,0,9,0,0,0,0,0,0,7,3,0,4,0,19,57,73,47,955,9,1153,3,0,6,0,0,8,0,0,0,0,0,5,14,6,4,82,0,115,0,0,0,4,0,4,0,0,0,3,0,6,0,0,0,0,0,0,10,3,8,177,0,203,7,5,0,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,8,3,0,20,5,6,0,5,0,21,0,0,0,0,0,4,0,0,0,0,0,0,20,24,17,197,0,262,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,14,0,21,24,10,13,34,0,75,0,0,0,19,83,105,145,121,94,2096,99,2544
